,Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimNb,ClaimAmount,ClaimOcc
0,0.4831818,0.6175244,1,1,0,1,1,333.9392,1
1,0.313093,1.7478724,1,4,0,5,0,0.0,0
2,0.3237662,2.451995,3,4,1,4,0,0.0,0
3,0.22870168,1.0008816,3,5,1,6,0,0.0,0
4,0.37901473,0.68817925,3,3,1,6,0,0.0,0
5,0.7876929,1.4329538,2,2,0,4,0,0.0,0
6,0.5845194,0.84111345,3,6,1,5,0,0.0,0
7,0.18763712,1.092675,1,6,1,1,0,0.0,0
8,0.6602807,1.8781497,4,1,1,3,0,0.0,0
9,0.39968356,1.9026177,4,3,0,6,0,0.0,0
10,0.4175651,0.3786906,3,6,1,3,0,0.0,0
11,0.28535056,1.2195103,2,6,0,6,0,0.0,0
12,0.38813412,1.1672366,1,1,0,2,0,0.0,0
13,0.092698246,2.404556,3,2,1,4,0,0.0,0
14,0.3834228,1.109642,1,4,1,5,0,0.0,0
15,0.39783913,1.5736156,4,1,0,3,0,0.0,0
16,0.16144994,0.48450696,3,3,0,1,0,0.0,0
17,0.9430026,2.549652,4,6,0,4,0,0.0,0
18,0.69507325,1.0790651,1,6,1,5,0,0.0,0
19,0.83677125,0.26738274,3,1,1,2,0,0.0,0
20,0.27075553,2.4953403,1,3,0,6,0,0.0,0
21,0.9073046,1.7520342,1,6,0,5,0,0.0,0
22,0.60624135,0.6397034,1,1,0,5,0,0.0,0
23,0.49598187,1.6300699,3,6,1,1,0,0.0,0
24,0.4518991,1.557091,1,6,0,5,0,0.0,0
25,0.27787557,1.318581,1,6,0,5,0,0.0,0
26,0.6813452,3.769166,4,6,1,3,0,0.0,0
27,0.075671345,1.9444897,4,6,1,5,0,0.0,0
28,0.0049832463,0.42470694,3,1,0,2,0,0.0,0
29,0.4735762,2.360234,4,6,1,5,0,0.0,0
30,0.811806,2.0142803,2,6,0,4,0,0.0,0
31,0.85269797,1.704195,4,3,1,2,0,0.0,0
32,0.4725192,1.1905284,1,6,1,3,0,0.0,0
33,0.45384297,2.323181,3,8,0,4,0,0.0,0
34,0.705529,0.41766727,3,1,1,2,0,0.0,0
35,0.4196881,0.9938324,1,1,0,4,0,0.0,0
36,0.2301647,0.6725521,3,1,0,1,0,0.0,0
37,0.23686562,0.9012878,1,6,0,4,0,0.0,0
38,0.5109039,0.36757052,3,1,0,1,0,0.0,0
39,0.19050545,0.4987836,3,6,0,4,0,0.0,0
40,0.69190854,0.61062455,3,6,1,2,0,0.0,0
41,0.95788074,3.0685854,2,3,1,2,0,0.0,0
42,0.94852614,2.889616,4,2,0,6,1,644.3801,1
43,0.68428475,1.6024259,1,2,1,4,1,4291.1733,1
44,0.90701073,3.047103,4,2,1,6,1,734.3489,1
45,0.92252636,1.7456061,4,1,1,3,0,0.0,0
46,0.26238424,0.8716697,3,1,1,5,0,0.0,0
47,0.2420074,1.5289092,4,1,1,4,0,0.0,0
48,0.9966188,1.2962775,3,3,1,2,0,0.0,0
49,0.33043557,0.6258011,3,6,0,2,0,0.0,0
50,0.8732928,0.7987373,3,3,1,4,0,0.0,0
51,0.9635366,1.7135601,2,7,0,3,0,0.0,0
52,0.43368226,0.6580143,3,6,1,1,0,0.0,0
53,0.085014105,8.262413,4,4,0,2,0,0.0,0
54,0.2004407,1.2014717,3,1,1,5,0,0.0,0
55,0.762177,1.5761577,4,1,0,6,0,0.0,0
56,0.87688625,0.9699971,1,6,1,2,0,0.0,0
57,0.43025747,0.8484263,3,2,1,1,0,0.0,0
58,0.22264943,6.3207603,4,3,0,2,0,0.0,0
59,0.94550496,1.5490221,3,1,0,6,0,0.0,0
60,0.1134657,1.2538333,4,0,0,4,0,0.0,0
61,0.8933047,1.7018421,2,6,0,5,0,0.0,0
62,0.38083774,0.566862,3,1,1,2,0,0.0,0
63,0.11046916,1.8754334,4,6,0,1,0,0.0,0
64,0.5917864,0.41995418,3,1,1,1,0,0.0,0
65,0.4018729,1.2487717,2,6,1,1,0,0.0,0
66,0.8725798,1.6204505,2,2,1,6,0,0.0,0
67,0.46425378,1.2362521,3,2,0,2,0,0.0,0
68,0.93729466,2.9781106,4,3,0,2,0,0.0,0
69,0.35720348,0.45293784,3,1,0,1,0,0.0,0
70,0.88131464,0.9164237,1,1,0,6,0,0.0,0
71,0.2641455,4.934048,4,4,0,4,0,0.0,0
72,0.78649473,1.9818398,4,1,0,3,0,0.0,0
73,0.65218014,0.69748855,3,6,1,4,0,0.0,0
74,0.24200533,1.247281,1,6,1,4,0,0.0,0
75,0.036319554,2.1818042,3,1,0,5,0,0.0,0
76,0.1997315,0.9248061,1,4,0,5,0,0.0,0
77,0.607646,1.8598677,2,2,0,5,1,791.18414,1
78,0.49802047,1.4670914,1,6,0,5,0,0.0,0
79,0.84301937,1.6810642,2,2,0,4,0,0.0,0
80,0.57134265,2.470096,4,6,0,5,0,0.0,0
81,0.4441245,1.3902068,1,1,0,4,0,0.0,0
82,0.077102184,1.531246,2,6,0,6,0,0.0,0
83,0.7057816,1.1266508,2,1,0,1,0,0.0,0
84,0.14911333,1.7238007,2,6,0,4,0,0.0,0
85,0.10058391,0.85308856,1,6,1,2,0,0.0,0
86,0.2258069,1.6349986,1,7,0,5,0,0.0,0
87,0.9489887,2.2563107,4,6,0,2,0,0.0,0
88,0.14785993,0.30489564,3,6,1,5,0,0.0,0
89,0.80623156,3.1235502,4,3,0,3,1,510.65253,1
90,0.17308483,1.8871739,1,2,0,4,0,0.0,0
91,0.6512173,0.8959434,1,6,0,6,0,0.0,0
92,0.7254956,1.6569,2,6,0,6,1,414.52838,1
93,0.043855786,2.514833,4,2,1,1,0,0.0,0
94,0.23363012,0.049886346,3,7,1,3,0,0.0,0
95,0.033977956,1.0712138,1,5,1,3,0,0.0,0
96,0.7314434,0.82889825,3,8,0,5,0,0.0,0
97,0.3241208,4.210316,4,3,0,2,0,0.0,0
98,0.0,2.1883912,1,3,0,6,0,0.0,0
99,0.17949003,1.2887341,1,6,1,3,0,0.0,0
100,0.4389182,2.5965793,2,4,0,2,0,0.0,0
101,0.6124113,2.3126533,2,2,1,3,0,0.0,0
102,0.28662962,3.3640375,2,3,0,6,0,0.0,0
103,0.055847615,0.8008548,3,1,0,2,0,0.0,0
104,0.38111827,2.6336396,1,4,1,5,0,0.0,0
105,0.3349521,1.4060538,4,1,0,5,0,0.0,0
106,0.29701394,3.0622897,4,1,0,6,0,0.0,0
107,0.56840014,0.56799316,3,1,0,6,0,0.0,0
108,0.800946,0.7375845,3,6,1,4,0,0.0,0
109,0.9122001,0.42779934,3,5,1,1,0,0.0,0
110,0.033980817,1.3875067,3,6,0,4,0,0.0,0
111,0.23637065,1.230897,2,2,0,5,0,0.0,0
112,0.43658677,1.7152071,2,6,0,3,0,0.0,0
113,0.8890375,0.45426524,3,6,0,3,0,0.0,0
114,0.09389147,2.5777016,4,3,1,2,0,0.0,0
115,0.079989135,0.62563396,1,1,0,4,0,0.0,0
116,0.17514405,1.5507566,3,4,1,1,0,0.0,0
117,0.16929442,0.33000052,3,1,0,2,0,0.0,0
118,0.8623868,1.084446,1,6,1,1,0,0.0,0
119,0.2584327,1.7204341,1,4,0,2,0,0.0,0
120,0.46788037,1.8315287,4,6,0,2,0,0.0,0
121,0.4199557,0.4299332,3,1,0,3,1,378.5464,1
122,0.8422955,0.7548399,3,1,0,6,0,0.0,0
123,0.7873049,1.7441115,4,1,0,6,1,307.5031,1
124,0.6125567,1.8728464,4,5,0,3,0,0.0,0
125,0.7942233,0.55505717,1,2,0,5,1,860.4422,1
126,0.88503283,2.133128,2,2,0,5,1,647.5966,1
127,0.57836324,0.8672716,3,6,0,2,0,0.0,0
128,0.3594662,1.2122281,1,6,0,2,0,0.0,0
129,0.5942049,3.6041536,1,3,0,4,0,0.0,0
130,0.8852482,1.1457224,3,3,0,4,0,0.0,0
131,0.8365484,2.272538,1,3,1,4,0,0.0,0
132,0.0,1.093411,1,6,0,3,0,0.0,0
133,0.3442833,1.6369374,2,1,0,4,0,0.0,0
134,0.69683933,2.1283667,4,2,0,2,0,0.0,0
135,0.6039344,1.3056962,1,1,0,4,0,0.0,0
136,0.27710214,1.8617679,4,6,0,4,0,0.0,0
137,0.8514571,1.0358123,2,1,0,1,0,0.0,0
138,0.30515826,3.0626893,1,3,1,1,0,0.0,0
139,0.27314442,1.6580285,2,1,0,4,0,0.0,0
140,0.70256513,2.1822097,4,6,0,6,0,0.0,0
141,0.7007299,0.86764765,1,2,0,1,0,0.0,0
142,0.53013676,3.7651863,2,3,1,2,0,0.0,0
143,0.32592618,1.6625454,1,6,0,1,0,0.0,0
144,0.8745785,2.9714093,2,3,0,4,0,0.0,0
145,0.6374182,1.4616262,3,4,1,3,0,0.0,0
146,0.5908351,0.6883631,1,1,0,2,0,0.0,0
147,0.56050545,0.60088897,3,6,0,6,0,0.0,0
148,0.3434137,2.62202,3,6,1,6,0,0.0,0
149,1.0,1.2356879,3,6,1,2,0,0.0,0
150,0.6695747,2.1555517,2,3,1,5,0,0.0,0
151,0.22252527,1.6686136,2,6,0,4,0,0.0,0
152,0.12075287,1.4907001,2,1,0,3,0,0.0,0
153,0.7241632,1.4618971,4,1,1,6,0,0.0,0
154,0.75622445,0.9532156,1,6,0,2,0,0.0,0
155,0.6801815,1.9416195,4,6,0,1,0,0.0,0
156,0.21244693,1.518977,4,6,1,2,0,0.0,0
157,0.47567764,1.5961591,4,1,1,5,0,0.0,0
158,0.3278659,0.93250966,3,8,1,1,0,0.0,0
159,0.613051,0.2468946,3,2,0,2,0,0.0,0
160,0.09037852,2.9361553,1,3,0,6,0,0.0,0
161,0.51472855,0.22780132,3,6,0,1,0,0.0,0
162,0.59938514,2.494352,1,6,0,3,0,0.0,0
163,0.20812377,1.5479834,2,1,0,3,0,0.0,0
164,0.60037357,0.85733217,1,6,1,1,0,0.0,0
165,0.15755978,2.970759,4,6,1,1,0,0.0,0
166,0.21982598,1.3732111,1,6,0,3,0,0.0,0
167,0.030196488,0.46412587,3,1,0,6,0,0.0,0
168,0.93786573,2.1019459,4,6,0,2,0,0.0,0
169,0.51019764,2.0224075,2,1,1,4,0,0.0,0
170,0.15220985,2.060403,2,6,1,3,0,0.0,0
171,0.40108308,1.6696129,2,6,0,5,0,0.0,0
172,0.7129512,0.7698896,1,6,1,2,0,0.0,0
173,0.04892984,1.7969404,2,6,1,4,0,0.0,0
174,0.8041479,0.62806404,3,7,0,1,0,0.0,0
175,0.5601256,2.5315595,2,6,0,2,0,0.0,0
176,0.32848728,1.1985662,1,6,0,5,0,0.0,0
177,0.45449692,2.3901927,3,4,1,2,0,0.0,0
178,0.68986213,0.90344733,3,2,1,5,0,0.0,0
179,0.2801897,0.79523367,3,2,1,1,0,0.0,0
180,0.6029841,1.739884,4,1,1,6,0,0.0,0
181,0.25391975,1.9341393,4,1,0,3,0,0.0,0
182,0.786577,1.0301006,1,6,1,2,0,0.0,0
183,0.38376138,2.25601,4,1,0,1,0,0.0,0
184,0.653638,1.3025562,1,2,0,4,0,0.0,0
185,0.7126311,0.56883645,3,7,1,6,0,0.0,0
186,0.61493355,0.51914465,3,6,0,2,1,1486.502,1
187,0.2860502,0.8801479,1,1,0,3,0,0.0,0
188,0.46504617,1.130599,1,6,0,3,0,0.0,0
189,0.18690988,2.15682,2,8,1,4,0,0.0,0
190,0.42797098,0.9942122,3,1,1,3,0,0.0,0
191,0.6802137,0.3223319,3,1,0,3,0,0.0,0
192,0.5648604,0.8306239,1,1,0,3,0,0.0,0
193,0.40221873,2.7478247,2,5,0,6,0,0.0,0
194,0.33466047,0.9756806,1,6,1,2,0,0.0,0
195,0.8406975,0.52033544,3,6,1,3,0,0.0,0
196,0.14430535,1.3613429,4,1,0,1,0,0.0,0
197,0.35386312,0.9201271,3,7,0,2,0,0.0,0
198,0.83518434,4.0573397,4,3,1,5,0,0.0,0
199,0.82290006,0.87277585,1,1,0,3,0,0.0,0
200,0.7126402,2.800684,4,6,1,1,0,0.0,0
201,0.5387189,1.4966588,2,6,0,3,0,0.0,0
202,0.21777332,1.8482803,1,6,1,5,0,0.0,0
203,0.8685601,1.1944047,1,6,0,6,0,0.0,0
204,0.41190106,4.889361,3,3,1,2,0,0.0,0
205,0.16281405,0.82142276,3,1,0,3,0,0.0,0
206,0.63324726,0.63960886,3,1,0,3,0,0.0,0
207,0.87870073,2.3287358,2,4,1,3,1,5415.2466,1
208,0.89723027,1.2084608,3,1,0,1,2,3059.26,1
209,0.55233794,1.540097,1,8,0,5,0,0.0,0
210,0.5458917,4.3798857,4,3,1,6,0,0.0,0
211,1.0,1.4259263,3,8,0,3,0,0.0,0
212,0.70295405,1.7264843,1,3,0,3,0,0.0,0
213,0.26126233,1.228678,3,2,0,1,0,0.0,0
214,0.06785533,0.74775517,3,2,0,3,0,0.0,0
215,0.88382643,3.3270533,2,3,1,1,1,233.00565,1
216,0.3590016,0.5806174,3,1,1,4,0,0.0,0
217,0.15260011,2.1126049,4,1,1,1,0,0.0,0
218,0.12726486,1.5537369,1,6,0,3,0,0.0,0
219,0.8995997,2.0378802,1,1,0,6,0,0.0,0
220,0.9414443,0.7174959,3,1,0,4,0,0.0,0
221,0.6392038,4.920677,4,3,1,3,0,0.0,0
222,0.41023022,2.4335303,1,3,0,5,0,0.0,0
223,0.14942026,1.0922067,1,6,0,5,0,0.0,0
224,0.9455457,1.4975837,1,6,1,4,1,2450.71,1
225,0.8639357,1.0569797,1,1,0,6,0,0.0,0
226,0.43400666,1.3235977,2,1,0,4,0,0.0,0
227,0.4550817,1.8983581,1,2,1,1,0,0.0,0
228,0.7000935,2.0265877,4,1,1,1,0,0.0,0
229,0.5558867,1.4201684,4,1,0,2,0,0.0,0
230,0.95288664,1.2143252,2,6,0,1,0,0.0,0
231,0.8233589,2.9583015,2,6,0,4,0,0.0,0
232,0.47945714,1.2157423,1,6,1,2,0,0.0,0
233,0.9413683,2.2144513,2,2,1,4,0,0.0,0
234,0.24951588,1.0726202,3,6,1,1,0,0.0,0
235,0.42432666,2.0942779,1,9,0,3,0,0.0,0
236,0.34693086,3.8321972,4,6,0,5,0,0.0,0
237,0.9177209,0.8641957,3,6,1,1,0,0.0,0
238,0.09360975,1.1130397,1,6,0,5,0,0.0,0
239,0.62653744,0.1877377,3,6,0,3,0,0.0,0
240,0.18708667,0.21047711,3,1,1,5,0,0.0,0
241,0.5560049,1.6204429,2,1,0,4,0,0.0,0
242,0.58646345,4.2647786,4,3,0,5,0,0.0,0
243,0.22359785,0.52679646,3,3,0,3,0,0.0,0
244,0.5458634,1.62943,4,1,1,7,1,535.192,1
245,0.19580814,2.102453,4,6,0,5,0,0.0,0
246,0.6379759,1.1833414,3,2,1,2,0,0.0,0
247,0.75119424,1.3930928,4,1,1,4,0,0.0,0
248,0.4819971,1.8196813,4,1,1,3,0,0.0,0
249,0.15047792,0.7730433,1,1,1,3,0,0.0,0
250,0.308823,1.1161101,1,6,1,4,0,0.0,0
251,0.9805425,2.249413,2,6,0,2,0,0.0,0
252,0.28870055,0.79414946,1,7,0,4,0,0.0,0
253,0.21381655,1.4184954,3,8,1,4,0,0.0,0
254,0.14614353,2.758335,4,2,1,2,0,0.0,0
255,0.15654454,1.1735369,1,6,0,2,0,0.0,0
256,0.27122644,2.0165398,4,2,1,5,0,0.0,0
257,0.4431402,1.1515317,1,1,0,5,0,0.0,0
258,0.55612046,1.9004068,2,6,1,4,0,0.0,0
259,0.1324625,1.4274954,1,8,1,3,0,0.0,0
260,0.19445544,1.0040859,3,6,1,4,0,0.0,0
261,0.925796,1.6192089,2,6,0,3,0,0.0,0
262,0.8470622,0.62947047,1,1,0,2,0,0.0,0
263,0.6968877,2.3348446,1,2,0,2,2,3072.5894,1
264,0.76119804,0.8341133,3,6,0,1,0,0.0,0
265,0.0,2.9632874,4,8,0,2,0,0.0,0
266,0.79178095,2.8808336,2,3,1,1,0,0.0,0
267,0.65481234,1.2146213,3,6,1,4,0,0.0,0
268,0.98511356,3.0953689,1,6,1,5,0,0.0,0
269,0.16754213,0.9914057,1,6,1,2,0,0.0,0
270,0.79103804,1.6316053,4,1,0,1,0,0.0,0
271,0.6458351,1.004631,3,6,1,1,0,0.0,0
272,0.57748353,0.4354614,1,1,0,1,0,0.0,0
273,0.74823445,2.83293,4,7,0,3,0,0.0,0
274,0.4909811,3.5280583,4,3,0,5,1,865.95905,1
275,0.21853073,0.6121949,3,2,1,5,0,0.0,0
276,0.25851917,0.8846029,3,6,0,4,0,0.0,0
277,0.5742024,3.0391576,4,2,1,5,0,0.0,0
278,0.5274035,1.7825979,1,2,0,4,0,0.0,0
279,0.22264707,2.7318077,2,5,1,2,0,0.0,0
280,0.569108,2.350926,4,1,1,3,0,0.0,0
281,0.5826767,1.1541891,2,2,1,5,0,0.0,0
282,0.16721019,2.3611856,1,4,0,1,0,0.0,0
283,0.9517999,1.0600761,3,1,0,6,1,435.5691,1
284,0.97554934,0.62569225,3,6,1,4,0,0.0,0
285,0.88498294,2.798962,2,3,0,5,1,4875.0825,1
286,0.92457974,1.6638408,4,1,0,1,0,0.0,0
287,0.14676562,1.0166943,3,9,0,1,0,0.0,0
288,0.42149156,1.1048808,1,6,0,5,0,0.0,0
289,0.3134847,2.510989,4,3,1,4,0,0.0,0
290,0.6048572,0.6807194,1,6,0,6,0,0.0,0
291,0.109935164,2.176157,4,1,1,6,0,0.0,0
292,0.9810303,0.3114524,3,3,1,2,0,0.0,0
293,0.77745175,1.1032171,2,2,0,4,0,0.0,0
294,0.41133723,3.4319303,2,4,0,6,0,0.0,0
295,0.39406678,0.4153012,3,0,0,2,0,0.0,0
296,0.816659,1.6249424,4,1,0,4,1,529.1724,1
297,0.060669094,1.4214286,4,6,0,4,0,0.0,0
298,0.0114735365,1.5263834,4,1,1,4,0,0.0,0
299,0.9247569,1.541811,2,1,0,2,0,0.0,0
300,1.0,0.8671381,1,2,0,5,0,0.0,0
301,0.7512805,0.78645605,3,6,0,4,0,0.0,0
302,0.46155584,2.178224,2,3,1,6,0,0.0,0
303,0.81103855,2.095644,2,2,1,4,0,0.0,0
304,0.95576483,0.0,3,1,0,1,0,0.0,0
305,0.5123092,2.0431018,4,1,1,4,0,0.0,0
306,0.08836222,1.5561618,4,1,0,2,0,0.0,0
307,0.89636666,1.0042771,1,6,1,1,1,1177.725,1
308,0.857778,1.5038354,4,1,0,2,0,0.0,0
309,0.17402914,2.2314806,4,1,0,2,0,0.0,0
310,0.3527072,0.6415801,3,1,1,2,0,0.0,0
311,0.0068672,1.2469186,3,9,1,3,0,0.0,0
312,0.65910095,2.2416759,4,2,1,2,0,0.0,0
313,0.82072294,2.1745937,2,3,0,5,0,0.0,0
314,0.30470043,1.2758545,1,3,1,2,0,0.0,0
315,0.8574895,0.85551023,1,1,0,4,0,0.0,0
316,0.937999,0.9447363,3,1,0,5,0,0.0,0
317,0.61151534,2.9166799,4,3,0,1,0,0.0,0
318,0.98277277,1.5624754,4,1,0,3,0,0.0,0
319,0.88831663,0.9282112,1,6,0,4,0,0.0,0
320,0.3917548,0.94616485,2,3,1,1,0,0.0,0
321,0.9439808,4.590496,4,4,1,2,0,0.0,0
322,0.14704102,0.26309443,3,6,0,5,0,0.0,0
323,0.81803876,1.8037367,1,3,0,4,0,0.0,0
324,0.9627574,1.164712,3,1,0,3,0,0.0,0
325,0.42315328,0.69998014,1,6,0,5,0,0.0,0
326,0.65161,1.5527217,1,2,1,4,1,244.93958,1
327,0.6111504,0.6203041,1,1,1,4,0,0.0,0
328,0.90041983,2.455472,4,2,0,3,0,0.0,0
329,0.4903036,1.6329122,1,4,1,6,0,0.0,0
330,0.42590463,2.7086067,1,3,0,5,0,0.0,0
331,0.6050468,0.45361614,1,1,1,4,0,0.0,0
332,0.303707,1.5786946,2,6,1,2,0,0.0,0
333,0.955765,0.90729135,3,1,0,4,0,0.0,0
334,0.30339852,2.520602,4,6,0,2,0,0.0,0
335,0.05200258,0.24833548,3,6,0,3,0,0.0,0
336,0.9254563,1.1393073,1,1,0,3,0,0.0,0
337,0.9269634,1.9729072,3,3,0,1,0,0.0,0
338,0.046775043,3.2319498,2,7,0,2,0,0.0,0
339,0.68458545,0.66818714,1,6,0,6,0,0.0,0
340,0.44303533,2.584697,1,4,0,5,0,0.0,0
341,0.06994966,1.807128,2,3,1,3,0,0.0,0
342,0.85654986,2.0667324,4,6,0,5,0,0.0,0
343,0.08339083,0.5986223,3,6,1,4,0,0.0,0
344,0.07395679,0.75055957,3,1,0,5,0,0.0,0
345,0.13312069,3.1888814,1,3,1,1,0,0.0,0
346,0.10966417,1.9630088,1,2,0,1,0,0.0,0
347,0.95477164,2.0226002,4,6,1,5,0,0.0,0
348,0.7380934,3.55444,2,3,1,4,0,0.0,0
349,0.27942938,0.7987921,1,8,0,3,0,0.0,0
350,0.3035941,0.120535135,3,1,0,1,0,0.0,0
351,0.22842245,1.5844536,1,1,0,3,0,0.0,0
