,Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimNb,ClaimAmount,ClaimOcc
0,0.89585984,0.6529225,oldest cars,Sedan,Female,older work. people,1,1468.8984,1
1,0.18100429,1.387381,old cars,Sedan,Female,youngest people,0,0.0,0
2,0.68090093,1.0970097,oldest cars,Sedan,Female,oldest people,0,0.0,0
3,0.832893,1.0706667,young cars,Hatchback,Male,working people,0,0.0,0
4,0.8286983,1.6733495,old cars,Utility,Male,young people,0,0.0,0
5,0.30191594,0.9226259,oldest cars,Sedan,Female,old people,0,0.0,0
6,0.6058049,1.7729651,young cars,Hatchback,Female,older work. people,0,0.0,0
7,0.2507938,1.5321463,youngest cars,Sedan,Female,young people,0,0.0,0
8,0.35486504,2.4950547,old cars,Station wagon,Female,working people,0,0.0,0
9,0.4657364,1.6947165,oldest cars,Hardtop,Male,young people,0,0.0,0
10,0.6658654,0.67176485,oldest cars,Hatchback,Female,working people,0,0.0,0
11,0.7792913,0.8302448,oldest cars,Sedan,Female,youngest people,0,0.0,0
12,0.012854695,1.0036479,oldest cars,Sedan,Male,older work. people,0,0.0,0
13,0.48081928,1.6288402,youngest cars,Sedan,Female,youngest people,0,0.0,0
14,0.5140178,1.225255,young cars,Hatchback,Female,old people,0,0.0,0
15,0.776365,1.9279555,old cars,Sedan,Male,oldest people,0,0.0,0
16,0.09124601,1.0897508,young cars,Hatchback,Female,young people,0,0.0,0
17,0.70824826,1.7073998,youngest cars,Hatchback,Female,young people,0,0.0,0
18,0.8498527,3.1428442,young cars,Utility,Female,young people,0,0.0,0
19,0.32401633,2.6371837,youngest cars,Sedan,Female,working people,0,0.0,0
20,0.4805647,1.7579798,old cars,Coupe,Male,oldest people,0,0.0,0
21,0.25589114,2.5204246,old cars,Hardtop,Male,old people,0,0.0,0
22,0.64807844,3.2927523,old cars,Station wagon,Male,old people,0,0.0,0
23,0.77669644,1.1016337,old cars,Sedan,Male,old people,0,0.0,0
24,0.8598681,3.2251296,old cars,Station wagon,Female,oldest people,0,0.0,0
25,0.22202528,0.39390457,oldest cars,Sedan,Male,working people,0,0.0,0
26,0.91134834,4.012086,old cars,Minibus,Male,youngest people,0,0.0,0
27,0.06093815,0.93860745,old cars,Sedan,Female,working people,0,0.0,0
