,Exposure,VehValue,VehAge,VehBody,DrivAge,ClaimNb,ClaimAmount,ClaimOcc
0,0.467453,0.6443349,oldest cars,Utility,older work. people,1,748.006,1
1,0.24312386,2.0011086,youngest cars,Sedan,older work. people,0,0.0,0
2,0.28155148,1.7545024,youngest cars,Hatchback,youngest people,0,0.0,0
3,0.6732195,1.1189921,old cars,Hatchback,oldest people,0,0.0,0
4,0.5399574,3.2912717,old cars,Station wagon,youngest people,0,0.0,0
5,1.0,0.65867937,oldest cars,Sedan,old people,0,0.0,0
6,0.5075241,1.6196623,oldest cars,Station wagon,working people,0,0.0,0
7,0.12731606,0.44660723,oldest cars,Panel van,young people,0,0.0,0
8,0.05152765,2.2886379,young cars,Station wagon,young people,0,0.0,0
9,0.00507921,2.3212733,old cars,Sedan,oldest people,0,0.0,0
10,0.9632702,1.1364061,old cars,Sedan,older work. people,0,0.0,0
11,0.9947206,0.6009054,oldest cars,Sedan,oldest people,0,0.0,0
12,0.3296181,0.59993064,oldest cars,Hatchback,young people,0,0.0,0
13,0.66439784,1.3132854,oldest cars,Station wagon,young people,0,0.0,0
14,0.7609416,1.7532346,old cars,Sedan,oldest people,0,0.0,0
15,0.4357172,1.192676,old cars,Sedan,youngest people,0,0.0,0
16,0.20917696,2.503456,youngest cars,Sedan,young people,0,0.0,0
17,1.0,2.4350357,old cars,Hardtop,young people,0,0.0,0
18,0.6053215,3.6580937,young cars,Station wagon,young people,0,0.0,0
19,0.08991,1.9643524,old cars,Utility,young people,0,0.0,0
20,0.17162478,1.2435025,oldest cars,Sedan,young people,0,0.0,0
21,0.3053161,1.4130229,young cars,Sedan,older work. people,0,0.0,0
22,0.05885148,1.2770513,young cars,Hatchback,young people,0,0.0,0
23,0.36807513,2.304823,old cars,Sedan,older work. people,0,0.0,0
24,0.053694516,1.334723,old cars,Sedan,working people,0,0.0,0
25,0.37410173,0.61554193,oldest cars,Sedan,oldest people,0,0.0,0
26,0.6082486,1.8705394,oldest cars,Station wagon,oldest people,0,0.0,0
27,0.028281271,1.041364,old cars,Truck,working people,0,0.0,0
28,0.54859227,0.5864614,oldest cars,Sedan,oldest people,0,0.0,0
29,0.33324814,1.8635464,old cars,Sedan,young people,0,0.0,0
30,0.113961995,1.0335513,old cars,Truck,working people,0,0.0,0
31,0.3480991,1.3880976,old cars,Coupe,older work. people,0,0.0,0
32,0.8590263,0.5397836,oldest cars,Hatchback,oldest people,0,0.0,0
33,0.829795,1.0999846,oldest cars,Hatchback,older work. people,0,0.0,0
34,0.91678905,1.0315642,old cars,Sedan,old people,0,0.0,0
35,0.51947606,0.9765062,oldest cars,Sedan,young people,0,0.0,0
36,0.5392643,4.6211796,young cars,Station wagon,young people,0,0.0,0
37,0.28083664,1.749484,young cars,Sedan,older work. people,0,0.0,0
38,0.40634072,0.7551342,old cars,Hatchback,working people,0,0.0,0
39,0.22350849,3.4724045,youngest cars,Sedan,older work. people,0,0.0,0
40,0.15488562,1.3144696,old cars,Utility,oldest people,0,0.0,0
41,0.52912736,2.1953049,youngest cars,Utility,older work. people,0,0.0,0
42,0.20012197,5.2632623,youngest cars,Station wagon,youngest people,1,5672.7363,1
43,0.6883256,1.9447123,old cars,Utility,older work. people,1,1043.562,1
44,0.85877895,2.26303,old cars,Panel van,old people,1,2842.8992,1
45,0.2080957,1.2557193,old cars,Utility,older work. people,0,0.0,0
46,0.6834805,1.9342983,young cars,Hatchback,working people,0,0.0,0
47,0.6604662,0.9320147,old cars,Sedan,young people,0,0.0,0
48,0.8669845,2.0677497,old cars,Sedan,old people,0,0.0,0
49,0.31907,1.384285,old cars,Sedan,youngest people,0,0.0,0
50,0.7226045,1.7649835,youngest cars,Sedan,old people,0,0.0,0
51,0.696359,1.8746289,youngest cars,Hatchback,oldest people,0,0.0,0
52,0.17389798,3.2681637,young cars,Station wagon,old people,0,0.0,0
53,0.6304688,1.5487205,old cars,Hatchback,oldest people,0,0.0,0
54,0.50136316,0.4364196,oldest cars,Sedan,old people,0,0.0,0
55,0.8066926,1.7574556,young cars,Sedan,oldest people,0,0.0,0
56,0.2797081,0.42159116,oldest cars,Sedan,youngest people,0,0.0,0
57,0.73035896,3.540253,young cars,Station wagon,youngest people,0,0.0,0
58,0.8986041,0.5946162,oldest cars,Hatchback,working people,0,0.0,0
59,0.66112596,1.5919415,old cars,Sedan,older work. people,0,0.0,0
60,0.17595688,0.95242614,old cars,Hatchback,working people,0,0.0,0
61,0.62343985,1.1066263,old cars,Coupe,oldest people,0,0.0,0
62,0.9250889,0.9521161,old cars,Station wagon,young people,0,0.0,0
63,0.06797677,0.495039,oldest cars,Utility,oldest people,0,0.0,0
64,0.103749156,1.3320336,old cars,Sedan,older work. people,0,0.0,0
65,0.123851836,1.0489774,old cars,Sedan,old people,0,0.0,0
66,0.6494163,0.591462,oldest cars,Sedan,older work. people,0,0.0,0
67,0.6979367,0.54864204,oldest cars,Sedan,oldest people,0,0.0,0
68,0.82306963,1.0350647,old cars,Sedan,oldest people,0,0.0,0
69,0.7288329,1.3916116,oldest cars,Station wagon,oldest people,0,0.0,0
70,0.8402472,4.360161,youngest cars,Station wagon,old people,0,0.0,0
71,0.23280632,1.0572212,old cars,Hardtop,young people,0,0.0,0
72,0.41087586,2.1970468,young cars,Station wagon,old people,0,0.0,0
73,0.4475391,1.5964187,old cars,Hatchback,older work. people,0,0.0,0
74,0.67153347,1.2733397,oldest cars,Hatchback,oldest people,0,0.0,0
75,0.65221596,1.2550876,old cars,Utility,oldest people,0,0.0,0
76,0.68285567,1.3605223,old cars,Hardtop,older work. people,0,0.0,0
77,0.9314331,1.6652104,young cars,Sedan,older work. people,1,406.97485,1
78,0.7870159,1.3978133,oldest cars,Panel van,working people,0,0.0,0
79,0.72263443,1.3645967,oldest cars,Sedan,old people,0,0.0,0
80,0.47014898,1.3912323,young cars,Hatchback,oldest people,0,0.0,0
81,0.31807616,1.8691723,old cars,Station wagon,older work. people,0,0.0,0
82,0.96660656,2.3456113,young cars,Station wagon,working people,0,0.0,0
83,0.2650296,0.9012647,oldest cars,Sedan,young people,0,0.0,0
84,0.5396329,1.3528593,oldest cars,Minibus,old people,0,0.0,0
85,0.45312205,0.5206945,oldest cars,Sedan,working people,0,0.0,0
86,0.82411426,1.5371813,youngest cars,Sedan,old people,0,0.0,0
87,0.14327273,2.1667435,old cars,Utility,young people,0,0.0,0
88,0.23694153,2.7030225,young cars,Sedan,old people,0,0.0,0
89,0.61714596,1.6453068,old cars,Utility,oldest people,1,221.02399,1
90,1.0,0.532922,oldest cars,Sedan,oldest people,0,0.0,0
91,0.51746804,2.0563195,young cars,Station wagon,older work. people,0,0.0,0
92,0.9584793,1.1115711,old cars,Sedan,working people,1,209.1362,1
93,0.7772553,0.8221677,oldest cars,Sedan,youngest people,0,0.0,0
94,0.938023,1.5773647,young cars,Hatchback,working people,0,0.0,0
95,1.0,1.8786563,old cars,Sedan,old people,0,0.0,0
96,0.75887173,0.63283753,oldest cars,Sedan,oldest people,0,0.0,0
97,0.107246876,0.8672936,old cars,Sedan,old people,0,0.0,0
