,Exposure,VehValue,VehAge,VehBody,DrivAge,ClaimNb,ClaimAmount,ClaimOcc
0,0.467453,0.6443349,3,2,2,1,748.006,1
1,0.24312386,2.0011086,4,6,2,0,0.0,0
2,0.28155148,1.7545024,4,1,6,0,0.0,0
3,0.6732195,1.1189921,1,1,3,0,0.0,0
4,0.5399574,3.2912717,1,3,6,0,0.0,0
5,1.0,0.65867937,3,6,5,0,0.0,0
6,0.5075241,1.6196623,3,3,4,0,0.0,0
7,0.12731606,0.44660723,3,5,1,0,0.0,0
8,0.05152765,2.2886379,2,3,1,0,0.0,0
9,0.00507921,2.3212733,1,6,3,0,0.0,0
10,0.9632702,1.1364061,1,6,2,0,0.0,0
11,0.9947206,0.6009054,3,6,3,0,0.0,0
12,0.3296181,0.59993064,3,1,1,0,0.0,0
13,0.66439784,1.3132854,3,3,1,0,0.0,0
14,0.7609416,1.7532346,1,6,3,0,0.0,0
15,0.4357172,1.192676,1,6,6,0,0.0,0
16,0.20917696,2.503456,4,6,1,0,0.0,0
17,1.0,2.4350357,1,4,1,0,0.0,0
18,0.6053215,3.6580937,2,3,1,0,0.0,0
19,0.08991,1.9643524,1,2,1,0,0.0,0
20,0.17162478,1.2435025,3,6,1,0,0.0,0
21,0.3053161,1.4130229,2,6,2,0,0.0,0
22,0.05885148,1.2770513,2,1,1,0,0.0,0
23,0.36807513,2.304823,1,6,2,0,0.0,0
24,0.053694516,1.334723,1,6,4,0,0.0,0
25,0.37410173,0.61554193,3,6,3,0,0.0,0
26,0.6082486,1.8705394,3,3,3,0,0.0,0
27,0.028281271,1.041364,1,7,4,0,0.0,0
28,0.54859227,0.5864614,3,6,3,0,0.0,0
29,0.33324814,1.8635464,1,6,1,0,0.0,0
30,0.113961995,1.0335513,1,7,4,0,0.0,0
31,0.3480991,1.3880976,1,8,2,0,0.0,0
32,0.8590263,0.5397836,3,1,3,0,0.0,0
33,0.829795,1.0999846,3,1,2,0,0.0,0
34,0.91678905,1.0315642,1,6,5,0,0.0,0
35,0.51947606,0.9765062,3,6,1,0,0.0,0
36,0.5392643,4.6211796,2,3,1,0,0.0,0
37,0.28083664,1.749484,2,6,2,0,0.0,0
38,0.40634072,0.7551342,1,1,4,0,0.0,0
39,0.22350849,3.4724045,4,6,2,0,0.0,0
40,0.15488562,1.3144696,1,2,3,0,0.0,0
41,0.52912736,2.1953049,4,2,2,0,0.0,0
42,0.20012197,5.2632623,4,3,6,1,5672.7363,1
43,0.6883256,1.9447123,1,2,2,1,1043.562,1
44,0.85877895,2.26303,1,5,5,1,2842.8992,1
45,0.2080957,1.2557193,1,2,2,0,0.0,0
46,0.6834805,1.9342983,2,1,4,0,0.0,0
47,0.6604662,0.9320147,1,6,1,0,0.0,0
48,0.8669845,2.0677497,1,6,5,0,0.0,0
49,0.31907,1.384285,1,6,6,0,0.0,0
50,0.7226045,1.7649835,4,6,5,0,0.0,0
51,0.696359,1.8746289,4,1,3,0,0.0,0
52,0.17389798,3.2681637,2,3,5,0,0.0,0
53,0.6304688,1.5487205,1,1,3,0,0.0,0
54,0.50136316,0.4364196,3,6,5,0,0.0,0
55,0.8066926,1.7574556,2,6,3,0,0.0,0
56,0.2797081,0.42159116,3,6,6,0,0.0,0
57,0.73035896,3.540253,2,3,6,0,0.0,0
58,0.8986041,0.5946162,3,1,4,0,0.0,0
59,0.66112596,1.5919415,1,6,2,0,0.0,0
60,0.17595688,0.95242614,1,1,4,0,0.0,0
61,0.62343985,1.1066263,1,8,3,0,0.0,0
62,0.9250889,0.9521161,1,3,1,0,0.0,0
63,0.06797677,0.495039,3,2,3,0,0.0,0
64,0.103749156,1.3320336,1,6,2,0,0.0,0
65,0.123851836,1.0489774,1,6,5,0,0.0,0
66,0.6494163,0.591462,3,6,2,0,0.0,0
67,0.6979367,0.54864204,3,6,3,0,0.0,0
68,0.82306963,1.0350647,1,6,3,0,0.0,0
69,0.7288329,1.3916116,3,3,3,0,0.0,0
70,0.8402472,4.360161,4,3,5,0,0.0,0
71,0.23280632,1.0572212,1,4,1,0,0.0,0
72,0.41087586,2.1970468,2,3,5,0,0.0,0
73,0.4475391,1.5964187,1,1,2,0,0.0,0
74,0.67153347,1.2733397,3,1,3,0,0.0,0
75,0.65221596,1.2550876,1,2,3,0,0.0,0
76,0.68285567,1.3605223,1,4,2,0,0.0,0
77,0.9314331,1.6652104,2,6,2,1,406.97485,1
78,0.7870159,1.3978133,3,5,4,0,0.0,0
79,0.72263443,1.3645967,3,6,5,0,0.0,0
80,0.47014898,1.3912323,2,1,3,0,0.0,0
81,0.31807616,1.8691723,1,3,2,0,0.0,0
82,0.96660656,2.3456113,2,3,4,0,0.0,0
83,0.2650296,0.9012647,3,6,1,0,0.0,0
84,0.5396329,1.3528593,3,9,5,0,0.0,0
85,0.45312205,0.5206945,3,6,4,0,0.0,0
86,0.82411426,1.5371813,4,6,5,0,0.0,0
87,0.14327273,2.1667435,1,2,1,0,0.0,0
88,0.23694153,2.7030225,2,6,5,0,0.0,0
89,0.61714596,1.6453068,1,2,3,1,221.02399,1
90,1.0,0.532922,3,6,3,0,0.0,0
91,0.51746804,2.0563195,2,3,2,0,0.0,0
92,0.9584793,1.1115711,1,6,4,1,209.1362,1
93,0.7772553,0.8221677,3,6,6,0,0.0,0
94,0.938023,1.5773647,2,1,4,0,0.0,0
95,1.0,1.8786563,1,6,5,0,0.0,0
96,0.75887173,0.63283753,3,6,3,0,0.0,0
97,0.107246876,0.8672936,1,6,5,0,0.0,0
98,0.101272434,0.4170655,3,1,2,0,0.0,0
99,0.7046717,1.1654265,1,2,3,0,0.0,0
100,0.06841013,1.8859779,2,1,3,0,0.0,0
101,0.93635166,5.793724,2,7,3,0,0.0,0
102,0.1413934,1.5195006,3,1,2,0,0.0,0
103,0.13228947,0.5595958,3,6,3,0,0.0,0
104,0.7557868,1.93295,3,3,2,0,0.0,0
105,0.89715755,0.65139484,3,1,2,0,0.0,0
106,0.43126822,3.084279,2,3,1,0,0.0,0
107,0.8264252,1.6770991,4,6,2,0,0.0,0
108,0.6197182,1.1321712,1,6,1,0,0.0,0
109,0.57124865,1.8451062,1,3,1,0,0.0,0
110,0.046563536,2.716333,4,3,4,0,0.0,0
111,0.0,2.7054741,4,6,5,0,0.0,0
112,0.6688399,0.84902406,3,2,5,0,0.0,0
113,0.08396199,0.9140048,1,6,4,0,0.0,0
114,0.08881402,1.2200086,1,3,5,0,0.0,0
115,0.6072142,3.1273777,4,3,1,0,0.0,0
116,0.47848547,1.3506675,2,1,4,0,0.0,0
117,0.30485255,3.1172788,1,4,3,0,0.0,0
118,0.80686843,1.13132,3,7,1,0,0.0,0
119,0.64686817,2.072607,2,6,3,0,0.0,0
120,0.351317,1.6441685,2,6,4,0,0.0,0
121,0.7385792,0.92500347,3,7,5,1,222.08255,1
122,0.87140477,1.6815317,4,1,3,0,0.0,0
123,0.56571853,1.4123758,1,6,5,1,172.54361,1
124,0.28293556,1.4088788,3,6,3,0,0.0,0
125,0.9719437,2.8619308,1,9,1,1,2649.9683,1
126,0.9867978,5.0755763,4,6,4,1,267.8344,1
127,0.7385981,5.1197248,4,3,4,0,0.0,0
128,0.11446777,3.319581,4,3,2,0,0.0,0
129,0.3766806,1.5890405,2,1,2,0,0.0,0
130,0.93956435,1.1696017,3,6,3,0,0.0,0
131,0.5217944,0.36217773,3,6,3,0,0.0,0
132,0.40434718,0.874566,1,6,4,0,0.0,0
133,0.108697176,3.217184,4,6,1,0,0.0,0
134,0.070115566,1.24108,2,6,6,0,0.0,0
135,0.6374765,0.53810215,3,6,4,0,0.0,0
136,0.36339527,1.2110897,1,6,1,0,0.0,0
137,0.5479406,2.1650565,1,2,1,0,0.0,0
138,0.5424551,0.51688004,1,1,2,0,0.0,0
139,0.7936591,3.7099695,1,3,2,0,0.0,0
140,0.4757473,4.0832677,4,3,1,0,0.0,0
141,0.4764653,0.4377451,3,2,3,0,0.0,0
142,0.42239395,2.3636568,4,6,1,0,0.0,0
143,0.52553815,1.3328131,1,6,3,0,0.0,0
144,0.47972652,3.0148504,1,3,1,0,0.0,0
145,0.71234286,2.227307,4,6,4,0,0.0,0
146,0.95454437,1.738649,1,7,6,0,0.0,0
147,0.41886425,1.7262697,2,6,2,0,0.0,0
148,0.70609087,0.29747927,3,2,1,0,0.0,0
149,0.6037399,0.25010943,3,1,2,0,0.0,0
150,0.29202294,1.075464,2,1,2,0,0.0,0
151,0.8295429,1.6631571,1,9,4,0,0.0,0
152,0.0,3.57755,4,3,3,0,0.0,0
153,0.30030096,2.1733024,4,6,2,0,0.0,0
154,0.14877868,1.6618956,4,1,6,0,0.0,0
155,0.47697625,1.0754638,1,6,4,0,0.0,0
156,0.16185251,0.4797008,3,1,2,0,0.0,0
157,0.7333686,1.0341489,3,3,4,0,0.0,0
158,0.033546686,3.3295045,1,3,5,0,0.0,0
159,0.7306153,2.1059167,2,6,6,0,0.0,0
160,0.3020418,3.489387,4,6,4,0,0.0,0
161,0.30749977,0.90850216,1,6,5,0,0.0,0
162,0.93020195,1.0761986,4,1,2,0,0.0,0
163,0.8411546,2.6068273,4,6,3,0,0.0,0
164,0.58929116,1.7569003,1,6,5,0,0.0,0
165,0.82346606,1.3470882,2,6,1,0,0.0,0
166,0.28966683,1.6335872,2,6,1,0,0.0,0
167,0.2291667,0.88474447,1,1,6,0,0.0,0
168,0.96779966,1.2993556,2,1,3,0,0.0,0
169,0.7348877,0.6479937,3,6,4,0,0.0,0
170,0.88903797,1.8962001,2,1,1,0,0.0,0
171,0.4155244,1.2345161,2,1,3,0,0.0,0
172,0.15883663,4.943533,4,7,2,0,0.0,0
173,0.071566105,1.2594815,1,6,4,0,0.0,0
174,0.13049328,0.7490066,3,6,5,0,0.0,0
175,0.09056133,1.675645,2,6,5,0,0.0,0
176,0.16391554,1.9434623,4,1,3,0,0.0,0
177,0.9721904,2.6048732,4,6,4,0,0.0,0
178,0.47862723,1.3688006,4,1,1,0,0.0,0
179,0.6782423,0.87010485,3,1,3,0,0.0,0
180,0.5711208,2.0661218,2,3,2,0,0.0,0
181,0.39104906,2.33934,1,6,4,0,0.0,0
182,0.26994604,0.98514575,1,1,5,0,0.0,0
183,0.08210671,1.0511487,1,6,2,0,0.0,0
184,0.4091286,2.391626,1,3,5,0,0.0,0
185,0.08094749,2.4575953,1,3,2,0,0.0,0
186,0.076494396,2.1100507,2,1,2,1,4843.4146,1
187,0.53073376,1.5963007,1,6,3,0,0.0,0
188,0.13063243,2.6631882,1,3,1,0,0.0,0
189,0.041639328,1.2665982,1,1,4,0,0.0,0
190,0.44476077,4.3542624,4,3,4,0,0.0,0
191,0.80033123,0.78934795,3,7,2,0,0.0,0
192,0.4901673,1.3753318,1,6,5,0,0.0,0
193,0.17471904,0.39100027,3,1,6,0,0.0,0
194,0.37954623,1.2178373,2,6,1,0,0.0,0
195,0.4526794,0.99567705,3,1,3,0,0.0,0
196,0.24175191,3.0976825,1,3,1,0,0.0,0
197,0.0,1.4538031,1,7,6,0,0.0,0
198,0.14273211,3.6809535,4,3,3,0,0.0,0
199,0.7080506,1.0567026,1,6,3,0,0.0,0
200,0.8083725,1.2669961,3,3,1,0,0.0,0
201,0.7512673,0.8813374,3,6,6,0,0.0,0
202,0.007941574,2.2478611,2,2,3,0,0.0,0
203,0.11974412,1.5830948,1,6,1,0,0.0,0
204,0.91455996,3.912067,1,3,5,0,0.0,0
205,0.1830591,0.8135333,3,5,4,0,0.0,0
206,0.55910146,2.93116,2,3,3,0,0.0,0
207,0.49743468,0.7160071,1,1,4,1,248.50598,1
208,0.44045815,1.0007817,2,1,2,1,964.6112,1
209,0.9636197,0.842671,3,4,1,0,0.0,0
210,0.6336501,1.3965168,1,5,4,0,0.0,0
211,0.41621897,4.158437,2,3,3,0,0.0,0
212,0.37425938,4.6147857,2,3,2,0,0.0,0
213,0.7625377,5.3772287,4,3,4,0,0.0,0
214,0.49800453,2.347206,2,7,5,0,0.0,0
215,0.119606346,0.27129877,1,5,1,1,4809.9204,1
216,0.14011794,0.8796676,1,1,6,0,0.0,0
217,0.5534483,4.8190207,4,3,5,0,0.0,0
218,0.9044761,3.7646103,1,2,2,0,0.0,0
219,0.6944181,3.547629,1,3,1,0,0.0,0
220,0.245779,1.1184554,1,6,4,0,0.0,0
221,0.4288121,1.0136573,3,2,2,0,0.0,0
222,0.7280319,1.2680428,2,1,6,0,0.0,0
223,0.044542074,3.7539434,1,10,4,0,0.0,0
224,0.62571704,1.8308879,1,6,1,1,150.99628,1
225,0.3375604,0.9488144,1,1,1,0,0.0,0
226,0.08737254,1.0185466,1,6,4,0,0.0,0
227,0.9187554,2.6748388,2,5,4,0,0.0,0
228,0.20775986,4.698645,4,3,4,0,0.0,0
229,0.68018144,1.4195871,4,1,1,0,0.0,0
230,0.62403756,0.7999763,3,6,6,0,0.0,0
231,0.9140152,2.0005763,2,4,1,0,0.0,0
232,0.062143028,1.8859308,2,6,4,0,0.0,0
233,0.58232236,1.0849057,3,2,4,0,0.0,0
234,0.43709448,1.8921251,2,2,3,0,0.0,0
235,0.58385426,1.2466155,4,1,3,0,0.0,0
236,0.3318835,1.6732424,1,6,6,0,0.0,0
237,0.6675283,3.9167075,4,3,4,0,0.0,0
238,0.85504067,1.2931187,2,1,4,0,0.0,0
