,OwnerAge,Area,RiskClass,VehAge,BonusClass,Exposure,ClaimNb,ClaimAmount,ClaimOcc
0,52.519783,,,18,,0.3508884,0,0.0,0
1,41.723427,,,3,,1.0,0,0.0,0
2,50.236504,,,17,,0.53350866,0,0.0,0
3,36.21863,,,9,,0.9734657,0,0.0,0
4,42.596096,,,2,,0.9388156,0,0.0,0
5,26.19642,,,10,,0.35591152,0,0.0,0
6,36.04594,,,9,,1.0,0,0.0,0
7,41.17562,,,7,,0.6238464,0,0.0,0
8,47.687237,,,5,,0.9897908,0,0.0,0
9,45.407635,,,15,,0.38798127,1,12725.877,1
10,40.90421,,,14,,0.48819935,0,0.0,0
11,59.896286,,,21,,0.50280863,0,0.0,0
12,28.88279,,,8,,0.59424186,0,0.0,0
13,50.642918,,,12,,1.0,1,9474.765,1
14,19.898012,,,6,,0.2546216,0,0.0,0
15,34.31594,,,15,,0.98553526,0,0.0,0
16,55.608795,,,17,,0.9760674,0,0.0,0
17,52.536774,,,4,,0.94417226,0,0.0,0
18,39.473667,,,19,,0.57298577,0,0.0,0
19,24.939898,,,14,,0.053516626,0,0.0,0
20,49.08773,,,11,,0.88498247,0,0.0,0
21,53.57394,,,12,,0.55121326,0,0.0,0
22,42.25505,,,13,,0.22642606,0,0.0,0
23,51.413204,,,15,,0.9908066,0,0.0,0
24,68.369705,,,6,,1.0,0,0.0,0
25,54.51622,,,13,,0.08545852,0,0.0,0
26,17.349575,,,11,,0.56720597,0,0.0,0
27,31.874905,,,18,,0.9824713,1,3238.4478,1
28,37.552444,,,3,,0.9957153,0,0.0,0
29,47.25504,,,3,,0.19955435,0,0.0,0
30,37.72641,,,13,,0.5592685,0,0.0,0
31,61.269592,,,7,,0.9940207,0,0.0,0
32,33.0281,,,7,,0.7358702,0,0.0,0
33,50.573063,,,15,,1.0,0,0.0,0
34,24.60412,,,7,,0.9866963,0,0.0,0
35,41.300377,,,11,,0.42415717,0,0.0,0
36,31.712723,,,1,,0.9925748,0,0.0,0
37,30.940926,,,12,,0.9628377,0,0.0,0
38,20.798594,,,10,,0.9704945,0,0.0,0
39,28.231647,,,13,,0.021968007,0,0.0,0
40,28.112144,,,5,,0.79855436,0,0.0,0
41,27.580822,,,11,,1.0,0,0.0,0
42,34.766518,,,0,,0.0,0,0.0,0
43,33.501144,,,18,,0.14604771,0,0.0,0
44,29.60266,,,3,,1.0,0,0.0,0
45,37.919662,,,20,,1.0,0,0.0,0
46,46.938267,,,19,,0.41819358,0,0.0,0
47,62.157665,,,10,,0.9890513,0,0.0,0
48,74.24486,,,2,,0.33754173,0,0.0,0
49,65.62483,,,6,,0.999511,0,0.0,0
50,29.551323,,,1,,0.98257387,0,0.0,0
51,52.040108,,,2,,0.092981875,0,0.0,0
52,26.491337,,,5,,0.27094102,0,0.0,0
53,32.225273,,,12,,0.29080597,0,0.0,0
54,53.70017,,,0,,0.31562912,0,0.0,0
55,50.47095,,,19,,0.35871467,0,0.0,0
56,51.579666,,,3,,0.98039937,0,0.0,0
57,40.37621,,,18,,0.47273144,0,0.0,0
58,35.703644,,,21,,0.3421972,0,0.0,0
59,34.59694,,,17,,0.18612778,0,0.0,0
60,31.823906,,,12,,0.31814843,0,0.0,0
61,68.813866,,,5,,0.055359602,0,0.0,0
62,52.771133,,,12,,0.53608894,0,0.0,0
63,59.934166,,,20,,0.6442537,0,0.0,0
64,49.757557,,,16,,1.0,0,0.0,0
65,43.513226,,,5,,0.40812495,0,0.0,0
66,28.440678,,,17,,0.9868411,0,0.0,0
67,24.091854,,,17,,0.0,0,0.0,0
68,68.65096,,,4,,0.99075305,0,0.0,0
69,37.136856,,,19,,0.9404362,0,0.0,0
70,29.0359,,,6,,0.4231958,0,0.0,0
71,43.383408,,,5,,1.0,0,0.0,0
72,24.599478,,,8,,1.0,0,0.0,0
