,OwnerAge,Area,RiskClass,VehAge,BonusClass,Exposure,ClaimNb,ClaimAmount,ClaimOcc
0,52.519783,4.0107956,5.7194176,18,0.9785602,0.3508884,0,0.0,0
1,41.723427,1.026157,3.0658696,3,6.6031733,1.0,0,0.0,0
2,50.236504,3.4655626,5.946811,17,1.0119746,0.53350866,0,0.0,0
3,36.21863,2.750915,4.4321423,9,2.2780426,0.9734657,0,0.0,0
4,42.596096,1.7809249,1.436542,2,6.732268,0.9388156,0,0.0,0
5,26.19642,2.2792518,1.5878474,10,3.605402,0.35591152,0,0.0,0
6,36.04594,2.225165,1.8342708,9,6.914159,1.0,0,0.0,0
7,41.17562,0.94897604,2.4106965,7,1.5765872,0.6238464,0,0.0,0
8,47.687237,2.1553984,2.1821551,5,3.1899924,0.9897908,0,0.0,0
9,45.407635,2.8719919,2.1509328,15,6.322975,0.38798127,1,12725.877,1
10,40.90421,2.644273,5.6167107,14,2.5966015,0.48819935,0,0.0,0
11,59.896286,3.321446,0.7450187,21,6.273404,0.50280863,0,0.0,0
12,28.88279,4.330449,0.9593854,8,2.8983893,0.59424186,0,0.0,0
13,50.642918,1.6984528,4.774397,12,5.81103,1.0,1,9474.765,1
14,19.898012,4.122152,6.175419,6,3.9206305,0.2546216,0,0.0,0
15,34.31594,2.8775258,0.9901297,15,6.942355,0.98553526,0,0.0,0
16,55.608795,3.5444963,3.9853678,17,1.3598459,0.9760674,0,0.0,0
17,52.536774,3.2447941,1.022749,4,6.640018,0.94417226,0,0.0,0
18,39.473667,0.91579723,2.9944825,19,7.0717745,0.57298577,0,0.0,0
19,24.939898,2.8210413,1.5030427,14,1.6136115,0.053516626,0,0.0,0
20,49.08773,1.7891197,3.0480313,11,6.8858366,0.88498247,0,0.0,0
21,53.57394,2.2800171,3.1230016,12,6.552043,0.55121326,0,0.0,0
22,42.25505,3.3133972,6.4110956,13,4.527203,0.22642606,0,0.0,0
23,51.413204,2.406127,3.3464162,15,6.681732,0.9908066,0,0.0,0
24,68.369705,2.7647607,0.761961,6,6.6556416,1.0,0,0.0,0
25,54.51622,2.9288087,4.380751,13,0.9369705,0.08545852,0,0.0,0
26,17.349575,3.8813767,1.0701125,11,1.2887871,0.56720597,0,0.0,0
27,31.874905,1.0004053,3.9136503,18,1.8744366,0.9824713,1,3238.4478,1
28,37.552444,1.3931992,1.0247161,3,1.0053115,0.9957153,0,0.0,0
29,47.25504,2.8365989,2.2485514,3,3.0085628,0.19955435,0,0.0,0
30,37.72641,1.2935499,5.6295667,13,0.95322275,0.5592685,0,0.0,0
31,61.269592,3.153071,1.9072903,7,1.9017603,0.9940207,0,0.0,0
32,33.0281,2.0015683,2.3110888,7,4.4086246,0.7358702,0,0.0,0
33,50.573063,0.98448193,3.53582,15,6.7924676,1.0,0,0.0,0
34,24.60412,3.1485865,1.3649794,7,7.2006097,0.9866963,0,0.0,0
35,41.300377,5.770993,2.7913618,11,2.662558,0.42415717,0,0.0,0
36,31.712723,3.9570408,2.8184223,1,2.019436,0.9925748,0,0.0,0
37,30.940926,4.0558395,3.263525,12,2.3875246,0.9628377,0,0.0,0
38,20.798594,4.8307295,1.9860377,10,6.216776,0.9704945,0,0.0,0
39,28.231647,4.365224,1.3096671,13,1.068721,0.021968007,0,0.0,0
40,28.112144,0.8218193,1.1163125,5,6.978176,0.79855436,0,0.0,0
41,27.580822,2.1704085,2.5006926,11,7.021167,1.0,0,0.0,0
42,34.766518,5.6529226,1.8202474,0,5.764514,0.0,0,0.0,0
43,33.501144,2.0745063,1.867061,18,5.6080985,0.14604771,0,0.0,0
44,29.60266,2.7859242,4.182382,3,6.37674,1.0,0,0.0,0
45,37.919662,3.4421241,2.5215554,20,2.0753202,1.0,0,0.0,0
46,46.938267,4.429632,4.3363853,19,1.2716744,0.41819358,0,0.0,0
47,62.157665,2.3213687,5.3360863,10,1.1272845,0.9890513,0,0.0,0
48,74.24486,2.117832,3.1219404,2,6.057212,0.33754173,0,0.0,0
49,65.62483,1.1538084,0.77028036,6,6.712473,0.999511,0,0.0,0
50,29.551323,6.941066,4.306223,1,1.9753125,0.98257387,0,0.0,0
51,52.040108,2.6667018,1.6209198,2,2.1293,0.092981875,0,0.0,0
52,26.491337,3.2586076,2.9772618,5,2.1633382,0.27094102,0,0.0,0
53,32.225273,3.4148374,4.0844426,12,3.9201846,0.29080597,0,0.0,0
54,53.70017,1.5537978,5.125738,0,7.2154264,0.31562912,0,0.0,0
55,50.47095,1.7097101,3.286333,19,6.9741917,0.35871467,0,0.0,0
56,51.579666,1.0774469,1.760886,3,7.1570415,0.98039937,0,0.0,0
57,40.37621,2.2875347,1.4308797,18,4.801331,0.47273144,0,0.0,0
58,35.703644,3.5097046,1.6979829,21,6.424752,0.3421972,0,0.0,0
59,34.59694,4.8062687,2.0160675,17,2.9744556,0.18612778,0,0.0,0
60,31.823906,4.3311076,6.067609,12,2.932208,0.31814843,0,0.0,0
61,68.813866,1.6668773,1.542602,5,7.260461,0.055359602,0,0.0,0
62,52.771133,0.8596573,1.4579796,12,1.318507,0.53608894,0,0.0,0
63,59.934166,2.9381092,3.128535,20,2.9478803,0.6442537,0,0.0,0
64,49.757557,1.5027716,3.7974415,16,6.9797716,1.0,0,0.0,0
65,43.513226,1.5243392,2.9264052,5,4.125313,0.40812495,0,0.0,0
66,28.440678,2.4128895,3.3678067,17,6.6203394,0.9868411,0,0.0,0
67,24.091854,3.913973,4.133819,17,3.1973648,0.0,0,0.0,0
68,68.65096,6.6274614,2.5014744,4,1.8358164,0.99075305,0,0.0,0
69,37.136856,2.361238,5.6201997,19,6.1033716,0.9404362,0,0.0,0
70,29.0359,2.53884,5.4299626,6,2.847038,0.4231958,0,0.0,0
71,43.383408,0.78036094,2.943548,5,6.8854795,1.0,0,0.0,0
72,24.599478,2.604805,1.0266237,8,6.891633,1.0,0,0.0,0
73,42.014675,1.3422861,3.1153364,8,1.841156,0.9118824,0,0.0,0
74,52.373672,2.8703678,5.354495,2,6.4400682,0.37604424,0,0.0,0
75,47.735886,2.552891,5.871643,19,4.629935,0.33795357,0,0.0,0
76,60.663994,4.9638715,1.2988379,17,2.6559398,0.8788278,0,0.0,0
77,55.67286,3.2299001,1.4306177,9,7.1068535,1.0,0,0.0,0
78,29.704247,2.8471062,5.840871,3,5.8798685,0.3026298,0,0.0,0
79,36.44124,1.855562,2.0240848,7,4.1870804,0.9802371,0,0.0,0
80,32.93938,1.4869261,4.623975,2,2.7700856,0.9482943,0,0.0,0
81,35.92301,3.513129,3.6167567,19,6.901174,0.9762827,0,0.0,0
82,50.011208,3.2259586,2.95894,11,6.9430866,0.9987278,0,0.0,0
83,41.48974,1.1969234,6.8555474,10,5.659912,0.51656955,0,0.0,0
84,64.89064,4.0849915,3.9130502,18,6.537715,1.0,0,0.0,0
85,37.761642,1.4165196,1.4946175,13,3.9856272,0.9682293,0,0.0,0
86,20.878227,3.1235366,4.1245236,7,1.9826629,0.27228788,0,0.0,0
87,62.60473,3.3954124,1.3091033,19,6.8392,0.81676424,0,0.0,0
88,55.60142,2.2634351,3.633486,2,5.914422,1.0,0,0.0,0
89,52.569725,3.0221107,1.1707952,0,7.0303545,0.99774694,0,0.0,0
90,37.66257,2.6370344,5.965506,15,6.3312383,0.97283924,0,0.0,0
91,19.417704,1.355883,0.9547155,2,6.9101076,0.524254,0,0.0,0
92,44.129433,1.4555632,1.3123746,3,6.392167,0.29995403,0,0.0,0
93,31.748629,1.0897611,5.6163497,14,0.9948025,0.7023342,0,0.0,0
94,39.434284,3.2464116,4.994835,2,1.236304,0.22468787,0,0.0,0
95,43.944225,2.7068753,1.1138163,2,6.2736235,0.9976429,0,0.0,0
96,43.349857,1.0111843,1.8843349,19,3.357854,0.35173666,0,0.0,0
97,34.615326,3.3806365,1.4237919,5,1.292429,0.27736923,0,0.0,0
98,25.559137,1.0575655,1.2115982,14,1.7079585,0.21629858,0,0.0,0
99,49.23767,4.6101313,2.717643,4,7.275329,0.40656206,0,0.0,0
100,23.129343,2.9782248,0.9522903,14,1.1578829,0.41852108,0,0.0,0
101,27.653822,2.2139087,2.4316854,3,7.1654487,1.0,0,0.0,0
102,26.819862,6.580749,1.003864,10,4.786973,0.9969744,0,0.0,0
103,37.08339,1.5943197,5.2573814,8,7.057279,0.9902936,0,0.0,0
104,43.07412,0.8914385,2.797318,20,1.282789,0.7246198,0,0.0,0
105,23.83503,0.8592446,3.1644554,3,1.3776617,0.50883174,0,0.0,0
106,46.636543,3.3559299,2.6974463,8,6.8846893,0.0,0,0.0,0
107,42.049335,1.4695724,5.007935,9,1.4386582,1.0,0,0.0,0
108,24.155611,0.86476827,6.166066,2,4.845013,0.30252773,0,0.0,0
109,36.345493,4.5982485,2.4285355,17,3.424066,0.54714274,0,0.0,0
110,53.669247,3.081816,6.1357713,21,7.189177,0.24057913,0,0.0,0
111,12.474024,2.3854878,6.319248,5,0.84721327,0.9170351,0,0.0,0
112,37.21696,0.9539275,1.1794899,4,4.196295,0.3879426,0,0.0,0
113,42.166428,3.8153296,2.8711843,9,2.613779,0.70061153,0,0.0,0
114,52.11078,2.9876187,4.664852,10,6.8892794,1.0,0,0.0,0
115,29.269058,0.9283316,2.6546803,8,6.7727866,0.41928583,0,0.0,0
116,45.409386,3.455061,5.2111454,10,5.75882,0.87375253,0,0.0,0
117,43.99056,3.0850801,5.91578,0,4.6177073,0.97342074,0,0.0,0
118,51.08427,3.6026516,2.7338376,16,6.934755,0.9808792,0,0.0,0
119,59.306915,2.9009328,3.96384,14,6.9103417,1.0,0,0.0,0
120,28.937185,5.222287,5.95706,1,2.6873434,1.0,0,0.0,0
121,54.07871,3.9312878,1.7860159,5,7.053822,1.0,0,0.0,0
122,43.968124,5.3726683,2.4302344,3,5.5940366,0.99784285,0,0.0,0
123,49.33532,2.5995889,3.8343081,11,0.979362,0.52908206,0,0.0,0
124,51.83512,4.695793,1.4129566,3,3.903549,0.88121986,0,0.0,0
125,37.457607,0.86997104,6.1157146,16,7.026108,0.9704832,0,0.0,0
126,45.75762,4.2285233,3.5270743,9,1.6126263,0.55651855,0,0.0,0
127,61.601192,2.7823758,3.0576122,16,5.5598063,0.9848001,0,0.0,0
128,29.087593,2.106777,6.336051,6,6.9380245,0.4292722,0,0.0,0
129,24.5053,3.2459104,2.264701,15,6.9545197,0.77128476,0,0.0,0
130,25.704336,1.725343,0.75764656,6,7.1786404,0.09525013,0,0.0,0
131,46.719105,2.7373457,4.853871,3,0.9727731,0.3638805,0,0.0,0
132,41.443783,4.602207,5.669407,7,1.8927143,0.4973871,0,0.0,0
133,26.658224,4.616754,1.2167923,12,2.1521926,0.828929,0,0.0,0
134,50.146217,3.5604007,0.8501127,0,7.151447,0.9994572,0,0.0,0
135,51.749374,3.6103096,5.9770308,1,1.1228342,0.0,0,0.0,0
