,Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimNb,ClaimAmount,ClaimOcc
0,0.7115775,1.3766024,old cars,Hardtop,Female,older work. people,1.0,440.25092,1
1,0.12561467,1.6001639,old cars,Station wagon,Male,working people,0.0,0.0,0
2,0.19649065,2.3146,youngest cars,Utility,Male,older work. people,0.0,0.0,0
3,0.2900977,1.9377958,young cars,Station wagon,Female,young people,0.0,0.0,0
4,0.4909644,1.372593,oldest cars,Panel van,Female,oldest people,0.0,0.0,0
5,0.44448254,1.256892,young cars,Utility,Female,oldest people,0.0,0.0,0
6,0.6384424,1.4153082,young cars,Sedan,Male,older work. people,0.0,0.0,0
7,0.49965894,1.3011764,young cars,Utility,Male,old people,0.0,0.0,0
8,0.3642748,1.9598894,youngest cars,Hardtop,Female,young people,0.0,0.0,0
9,0.566663,1.401519,young cars,Station wagon,Male,older work. people,0.0,0.0,0
10,0.2951104,1.0653214,oldest cars,Hatchback,Female,oldest people,0.0,0.0,0
11,0.6094614,4.0281353,youngest cars,Hardtop,Female,older work. people,0.0,0.0,0
12,0.4751471,1.0155504,oldest cars,Hatchback,Female,oldest people,0.0,0.0,0
13,0.64935607,1.0814383,old cars,Hatchback,Female,working people,0.0,0.0,0
14,0.5441129,1.4270892,oldest cars,Station wagon,Female,older work. people,0.0,0.0,0
15,0.5597734,1.1563344,old cars,Hatchback,Female,working people,0.0,0.0,0
16,0.3867691,3.3748956,youngest cars,Hardtop,Male,old people,0.0,0.0,0
17,0.8680932,1.309793,young cars,Panel van,Female,older work. people,0.0,0.0,0
18,0.33141047,1.5967889,young cars,Panel van,Female,older work. people,0.0,0.0,0
19,0.86453164,1.3320088,oldest cars,Panel van,Female,older work. people,0.0,0.0,0
20,0.5395938,1.3841991,young cars,Sedan,Female,oldest people,0.0,0.0,0
21,0.3291341,1.1632421,oldest cars,Utility,Female,working people,0.0,0.0,0
22,0.40121844,1.3419697,young cars,Hardtop,Female,older work. people,0.0,0.0,0
23,0.4530215,1.5141919,young cars,Panel van,Male,old people,0.0,0.0,0
24,0.40148842,0.9568311,oldest cars,Hatchback,Male,older work. people,0.0,0.0,0
25,0.38148132,1.3492055,young cars,Panel van,Female,working people,0.0,0.0,0
26,0.46443555,1.5791504,oldest cars,Station wagon,Female,older work. people,0.0,0.0,0
27,0.29517114,1.3758662,youngest cars,Utility,Female,old people,0.0,0.0,0
28,0.3072001,1.3812733,young cars,Utility,Male,oldest people,0.0,0.0,0
29,0.39780033,1.170961,young cars,Hatchback,Female,old people,0.0,0.0,0
30,0.66855615,1.1041528,oldest cars,Utility,Male,oldest people,0.0,0.0,0
31,0.45575893,1.302403,young cars,Sedan,Female,older work. people,0.0,0.0,0
32,0.26068723,1.6901656,young cars,Station wagon,Female,young people,0.0,0.0,0
33,0.4906439,1.653428,youngest cars,Hardtop,Female,oldest people,0.0,0.0,0
34,0.23135439,3.912095,oldest cars,Hardtop,Male,older work. people,0.0,0.0,0
35,0.7478324,1.2590482,young cars,Utility,Male,oldest people,0.0,0.0,0
36,0.2129412,1.1970944,young cars,Sedan,Female,working people,0.0,0.0,0
37,0.23361449,2.251692,old cars,Panel van,Male,oldest people,0.0,0.0,0
38,0.16887945,1.3149226,young cars,Panel van,Female,older work. people,0.0,0.0,0
39,0.45411745,1.4812173,old cars,Utility,Male,older work. people,0.0,0.0,0
40,0.52405965,1.4578528,old cars,Sedan,Female,oldest people,0.0,0.0,0
41,0.21687406,3.2758744,oldest cars,Utility,Male,oldest people,0.0,0.0,0
42,0.5477083,1.2631483,young cars,Sedan,Female,old people,1.0,1443.8575,1
43,0.809389,1.8974496,oldest cars,Hardtop,Male,oldest people,1.0,768.4472,1
44,0.72678244,1.3208232,young cars,Truck,Female,older work. people,1.0,426.1759,1
45,0.39972788,2.0675368,youngest cars,Sedan,Male,working people,0.0,0.0,0
46,0.32907158,1.2081077,young cars,Truck,Female,older work. people,0.0,0.0,0
47,0.2809013,1.3522696,old cars,Hatchback,Male,older work. people,0.0,0.0,0
48,0.72590697,1.8930343,youngest cars,Utility,Male,older work. people,0.0,0.0,0
49,0.48874888,1.459334,old cars,Panel van,Female,oldest people,0.0,0.0,0
50,0.73395693,1.1960326,oldest cars,Utility,Female,old people,0.0,0.0,0
51,0.7614471,1.5177623,oldest cars,Panel van,Female,old people,0.0,0.0,0
52,0.42787603,1.5714066,old cars,Station wagon,Male,young people,0.0,0.0,0
53,0.54848945,1.706404,young cars,Sedan,Female,old people,0.0,0.0,0
54,0.5063482,1.3831428,oldest cars,Truck,Male,old people,0.0,0.0,0
55,0.16957241,2.1770854,oldest cars,Hardtop,Male,old people,0.0,0.0,0
56,0.26339006,1.5852911,young cars,Station wagon,Female,youngest people,0.0,0.0,0
57,0.49298483,1.2985888,oldest cars,Station wagon,Male,oldest people,0.0,0.0,0
58,0.6361315,1.5944362,young cars,Station wagon,Female,older work. people,0.0,0.0,0
59,0.63481474,1.4848777,youngest cars,Utility,Female,oldest people,0.0,0.0,0
60,0.27389437,1.6653246,oldest cars,Utility,Male,working people,0.0,0.0,0
61,0.7061018,1.3181021,young cars,Utility,Male,older work. people,0.0,0.0,0
62,0.34966797,1.1395408,oldest cars,Sedan,Female,older work. people,0.0,0.0,0
63,0.1537185,1.669011,young cars,Sedan,Male,working people,0.0,0.0,0
64,0.20740801,1.3318067,oldest cars,Sedan,Male,older work. people,0.0,0.0,0
65,0.8405054,1.4102662,young cars,Hardtop,Female,older work. people,0.0,0.0,0
66,0.33807194,1.9932158,young cars,Station wagon,Female,older work. people,0.0,0.0,0
67,0.5052666,1.8474965,young cars,Sedan,Female,older work. people,0.0,0.0,0
68,0.8309537,4.599816,youngest cars,Hardtop,Female,oldest people,0.0,0.0,0
69,0.24092254,1.3527856,oldest cars,Panel van,Female,older work. people,0.0,0.0,0
70,0.30179015,1.1549869,oldest cars,Sedan,Male,working people,0.0,0.0,0
71,0.5274499,1.5098202,young cars,Hardtop,Female,older work. people,0.0,0.0,0
72,0.16881707,2.5115538,youngest cars,Sedan,Female,oldest people,0.0,0.0,0
73,0.6883294,1.3352582,old cars,Utility,Male,working people,0.0,0.0,0
74,0.6882569,2.048071,old cars,Station wagon,Male,working people,0.0,0.0,0
75,0.20144147,1.4458938,oldest cars,Hardtop,Female,young people,0.0,0.0,0
76,0.6574999,1.4272454,oldest cars,Sedan,Male,oldest people,0.0,0.0,0
77,0.7290485,2.2993653,oldest cars,Hardtop,Male,older work. people,1.0,809.6023,1
78,0.26455373,1.6273317,oldest cars,Hardtop,Female,old people,0.0,0.0,0
79,0.4768725,2.1950576,youngest cars,Panel van,Male,young people,0.0,0.0,0
80,0.6897271,3.1576896,young cars,Hardtop,Male,old people,0.0,0.0,0
81,0.81648505,1.7030343,old cars,Station wagon,Male,working people,0.0,0.0,0
82,0.5690546,1.2067559,young cars,Utility,Female,old people,0.0,0.0,0
83,0.32135686,2.5918732,young cars,Panel van,Male,older work. people,0.0,0.0,0
84,0.54562354,1.4991392,oldest cars,Sedan,Male,older work. people,0.0,0.0,0
85,0.7516279,1.2606573,young cars,Utility,Male,old people,0.0,0.0,0
86,0.28001463,1.693453,youngest cars,Station wagon,Female,working people,0.0,0.0,0
87,0.1704117,1.3763745,young cars,Sedan,Female,working people,0.0,0.0,0
88,0.7348896,1.2160921,oldest cars,Sedan,Male,older work. people,0.0,0.0,0
89,0.41496962,1.186312,young cars,Utility,Female,working people,1.0,569.6617,1
90,0.3678066,1.3092748,young cars,Hatchback,Female,working people,0.0,0.0,0
91,0.21100423,1.212245,young cars,Panel van,Male,old people,0.0,0.0,0
92,0.8508033,2.177165,oldest cars,Utility,Female,oldest people,1.0,577.5829,1
93,0.4069317,1.2820351,old cars,Utility,Female,old people,0.0,0.0,0
94,0.4048362,1.8178359,young cars,Station wagon,Male,young people,0.0,0.0,0
95,0.52151895,1.2080071,young cars,Hardtop,Male,working people,0.0,0.0,0
96,0.63499695,1.4378656,oldest cars,Sedan,Male,oldest people,0.0,0.0,0
97,0.54093635,1.8003135,youngest cars,Station wagon,Male,oldest people,0.0,0.0,0
98,0.46311966,1.9840873,oldest cars,Utility,Male,older work. people,0.0,0.0,0
99,0.8176439,1.3525128,young cars,Utility,Male,working people,0.0,0.0,0
100,0.4291157,1.5785592,young cars,Hardtop,Female,young people,0.0,0.0,0
101,0.6186586,1.3405215,young cars,Station wagon,Female,old people,0.0,0.0,0
102,0.67359066,1.1713688,oldest cars,Hardtop,Male,oldest people,0.0,0.0,0
103,0.24757528,1.1634758,oldest cars,Utility,Male,oldest people,0.0,0.0,0
104,0.2362773,2.8330705,youngest cars,Utility,Male,older work. people,0.0,0.0,0
105,0.37675595,1.1832402,oldest cars,Sedan,Female,older work. people,0.0,0.0,0
106,0.7515695,1.1556814,oldest cars,Sedan,Male,old people,0.0,0.0,0
107,0.83742964,1.4649398,old cars,Panel van,Female,oldest people,0.0,0.0,0
108,0.39607072,1.2521689,young cars,Utility,Female,working people,0.0,0.0,0
109,0.63223594,1.1598268,old cars,Hatchback,Female,working people,0.0,0.0,0
110,0.81032765,2.2352254,old cars,Station wagon,Male,working people,0.0,0.0,0
111,0.23902784,3.958972,youngest cars,Station wagon,Female,older work. people,0.0,0.0,0
