,Exposure,VehValue,VehAge,VehBody,DrivAge,ClaimNb,ClaimAmount,ClaimOcc
0,0.3348701,1.3460754,old cars,Hardtop,older work. people,1.0,320.90793,1
1,0.11897376,3.081221,youngest cars,Hardtop,oldest people,0.0,0.0,0
2,0.57285225,4.7876806,youngest cars,Station wagon,working people,0.0,0.0,0
3,0.5566582,2.00359,old cars,Hardtop,young people,0.0,0.0,0
4,0.667079,1.3409985,young cars,Panel van,older work. people,0.0,0.0,0
5,0.29088438,1.3216631,young cars,Utility,older work. people,0.0,0.0,0
6,0.22516568,1.4362128,old cars,Sedan,old people,0.0,0.0,0
7,0.2784258,1.1523381,oldest cars,Hatchback,old people,0.0,0.0,0
8,0.6836364,2.6094708,young cars,Panel van,older work. people,0.0,0.0,0
9,0.2702725,1.7960732,young cars,Station wagon,working people,0.0,0.0,0
10,0.454693,1.1875587,oldest cars,Hatchback,older work. people,0.0,0.0,0
11,0.856403,2.2685351,young cars,Panel van,oldest people,0.0,0.0,0
12,0.60761994,1.2198182,young cars,Hatchback,older work. people,0.0,0.0,0
13,0.19486398,1.0617528,young cars,Hatchback,working people,0.0,0.0,0
14,0.6748123,1.9292274,old cars,Station wagon,older work. people,0.0,0.0,0
15,0.26668388,1.097455,young cars,Hatchback,oldest people,0.0,0.0,0
16,0.73060143,1.8039013,oldest cars,Hardtop,old people,0.0,0.0,0
17,0.66469526,1.3337187,old cars,Sedan,oldest people,0.0,0.0,0
18,0.59497064,1.7671812,young cars,Panel van,older work. people,0.0,0.0,0
19,0.7306855,1.4398998,old cars,Panel van,working people,0.0,0.0,0
20,0.47156176,1.2701043,young cars,Panel van,older work. people,0.0,0.0,0
21,0.45706922,1.156595,oldest cars,Utility,older work. people,0.0,0.0,0
22,0.24469776,1.6101775,young cars,Station wagon,older work. people,0.0,0.0,0
23,0.23694146,1.2164679,oldest cars,Hardtop,old people,0.0,0.0,0
24,0.46108204,1.7644973,oldest cars,Hatchback,old people,0.0,0.0,0
25,0.24673776,1.2351635,young cars,Hardtop,older work. people,0.0,0.0,0
26,0.6991551,1.9395036,young cars,Station wagon,older work. people,0.0,0.0,0
27,0.68480814,1.4361126,youngest cars,Hatchback,oldest people,0.0,0.0,0
28,0.2320196,1.8054591,oldest cars,Utility,working people,0.0,0.0,0
29,0.22299626,1.0641553,oldest cars,Hatchback,oldest people,0.0,0.0,0
30,0.48655456,1.492431,young cars,Utility,old people,0.0,0.0,0
31,0.31361717,1.590329,old cars,Panel van,older work. people,0.0,0.0,0
32,0.38406664,2.0714126,young cars,Hardtop,young people,0.0,0.0,0
33,0.70797944,1.7739632,young cars,Hardtop,oldest people,0.0,0.0,0
34,0.42740038,5.0725374,oldest cars,Sedan,old people,0.0,0.0,0
35,0.30473983,1.2243149,young cars,Hatchback,working people,0.0,0.0,0
36,0.32388037,1.2581228,oldest cars,Sedan,older work. people,0.0,0.0,0
37,0.16487432,2.8434696,youngest cars,Sedan,old people,0.0,0.0,0
38,0.19421577,2.1418414,oldest cars,Hardtop,young people,0.0,0.0,0
39,0.16969782,1.8848782,old cars,Station wagon,oldest people,0.0,0.0,0
40,0.28722107,1.261783,old cars,Sedan,older work. people,0.0,0.0,0
41,0.5783657,4.319639,youngest cars,Station wagon,old people,0.0,0.0,0
42,0.6998798,2.5360074,oldest cars,Sedan,old people,1.0,861.66846,1
43,0.7808139,1.5104612,old cars,Hardtop,working people,1.0,641.82184,1
44,0.6919097,1.3433464,old cars,Truck,older work. people,1.0,357.99542,1
45,0.58199364,1.3897827,oldest cars,Sedan,working people,0.0,0.0,0
46,0.20782486,1.8189403,young cars,Truck,older work. people,0.0,0.0,0
47,0.12599042,2.1203299,young cars,Utility,oldest people,0.0,0.0,0
48,0.7759216,1.9114225,old cars,Utility,old people,0.0,0.0,0
49,0.2359957,1.3073143,old cars,Panel van,older work. people,0.0,0.0,0
50,0.64670324,1.0387166,young cars,Hatchback,working people,0.0,0.0,0
51,0.7207382,1.1095326,young cars,Panel van,working people,0.0,0.0,0
52,0.21293038,2.5342631,old cars,Station wagon,oldest people,0.0,0.0,0
