,Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimNb,ClaimAmount,ClaimOcc
0,0.31830144,1.2732744,1,3,1,2,1.0,624.10754,1
1,0.88175666,2.1202407,2,3,1,4,0.0,0.0,0
2,0.72926784,1.5525578,1,6,0,5,0.0,0.0,0
3,0.14021349,1.5648601,1,6,1,5,0.0,0.0,0
4,0.2698137,1.2845294,3,7,1,3,0.0,0.0,0
5,0.24003972,1.5862005,1,4,0,3,0.0,0.0,0
6,0.43204618,1.4128747,2,5,0,3,0.0,0.0,0
7,0.613551,1.2113771,3,2,1,2,0.0,0.0,0
8,0.39304867,1.5968754,3,2,1,5,0.0,0.0,0
9,0.30669472,1.4883404,1,6,0,4,0.0,0.0,0
10,0.27019247,1.357353,2,6,1,3,0.0,0.0,0
11,0.39864567,1.8612235,4,3,0,4,0.0,0.0,0
12,0.30219948,1.4141886,1,2,0,3,0.0,0.0,0
13,0.16869345,1.6060762,1,3,0,3,0.0,0.0,0
14,0.1824697,1.349013,2,6,0,4,0.0,0.0,0
15,0.18673053,1.5479519,2,4,0,2,0.0,0.0,0
16,0.7775728,1.500667,2,5,0,3,0.0,0.0,0
17,0.15511093,1.8635877,4,1,0,2,0.0,0.0,0
18,0.30315602,1.5935407,1,4,0,4,0.0,0.0,0
19,0.23298186,1.1542783,2,1,0,2,0.0,0.0,0
20,0.32070947,1.4327753,2,2,1,2,0.0,0.0,0
21,0.38380018,1.5555084,1,3,1,3,0.0,0.0,0
22,0.29026204,1.6100059,3,3,1,3,0.0,0.0,0
23,0.72951496,1.596216,2,4,0,2,0.0,0.0,0
24,0.34758216,1.7686005,1,6,0,5,0.0,0.0,0
25,0.4054092,1.5161595,3,2,1,2,0.0,0.0,0
26,0.2089211,1.4876249,2,4,0,4,0.0,0.0,0
27,0.59040266,1.5101061,2,5,0,3,0.0,0.0,0
28,0.4709776,3.620316,3,5,1,4,0.0,0.0,0
29,0.31433845,1.5711364,1,5,0,2,0.0,0.0,0
30,0.27210134,1.5339057,3,4,0,4,0.0,0.0,0
31,0.31799614,1.3711772,2,2,1,4,0.0,0.0,0
32,0.18076465,1.5777143,2,5,1,5,0.0,0.0,0
33,0.492918,1.4292092,2,2,0,3,0.0,0.0,0
34,0.81539524,1.3393619,3,7,0,5,0.0,0.0,0
35,0.1963397,1.4101496,2,5,0,3,0.0,0.0,0
36,0.69034606,1.7231905,1,4,1,2,0.0,0.0,0
37,0.86171126,1.4964113,3,4,0,4,0.0,0.0,0
38,0.5859471,1.7176386,1,2,1,4,0.0,0.0,0
39,0.18838134,1.2636957,2,6,0,4,0.0,0.0,0
40,0.16819835,1.3889233,2,7,1,2,0.0,0.0,0
41,0.85403883,1.4497275,3,2,0,5,0.0,0.0,0
42,0.8478428,1.4544661,1,5,0,1,1.0,580.2316,1
43,0.45680615,1.3308377,2,5,0,3,1.0,540.1733,1
44,0.4103741,1.2387803,1,4,0,2,1.0,555.2525,1
45,0.82186025,1.4216843,3,2,0,2,0.0,0.0,0
46,0.4852292,1.5351205,1,3,1,4,0.0,0.0,0
47,0.25690264,1.4483113,1,2,1,6,0.0,0.0,0
48,0.31994388,2.5800955,4,2,0,4,0.0,0.0,0
49,0.18176207,1.3211863,2,6,1,2,0.0,0.0,0
50,0.22350588,2.3998134,4,6,0,2,0.0,0.0,0
51,0.47266063,1.5117649,2,3,0,2,0.0,0.0,0
52,0.20906708,1.3703072,2,6,0,5,0.0,0.0,0
53,0.33443114,1.5460985,3,2,1,1,0.0,0.0,0
54,0.77707314,1.4124436,3,2,1,1,0.0,0.0,0
55,0.83122206,1.3339088,3,6,1,3,0.0,0.0,0
56,0.6270789,2.6791663,2,4,1,1,0.0,0.0,0
57,0.40844136,1.3586556,2,5,0,3,0.0,0.0,0
58,0.11949557,1.9427885,4,5,1,3,0.0,0.0,0
59,0.35940564,1.5174997,3,2,0,3,0.0,0.0,0
60,0.7950799,1.5645773,2,3,0,4,0.0,0.0,0
61,0.21244606,1.51338,2,4,0,3,0.0,0.0,0
62,0.44812226,1.2880964,3,6,1,4,0.0,0.0,0
63,0.90003264,1.5949973,2,4,1,4,0.0,0.0,0
64,0.62364423,1.2842739,2,6,1,5,0.0,0.0,0
65,0.14031005,1.6897767,1,4,0,2,0.0,0.0,0
66,0.23525608,1.3683965,2,4,1,3,0.0,0.0,0
67,0.17985186,1.4191093,3,6,1,3,0.0,0.0,0
68,0.53406715,1.7869904,1,3,0,2,0.0,0.0,0
69,0.3747942,4.1257915,3,4,1,5,0.0,0.0,0
70,0.7446595,1.6667058,1,4,0,3,0.0,0.0,0
71,0.14911667,3.5970573,3,4,1,4,0.0,0.0,0
72,0.7808261,2.598825,3,6,1,3,0.0,0.0,0
73,0.3040039,1.2596085,3,2,0,3,0.0,0.0,0
74,0.5414493,1.9700387,4,5,0,2,0.0,0.0,0
75,0.45964482,1.3918731,2,2,1,5,0.0,0.0,0
76,0.5076604,1.521812,3,2,0,3,0.0,0.0,0
77,0.38101935,3.159092,4,2,0,5,1.0,1181.6971,1
78,0.696203,1.5286908,2,4,1,2,0.0,0.0,0
79,0.42305923,1.4167796,2,4,0,5,0.0,0.0,0
80,0.7918253,1.5314906,3,2,0,2,0.0,0.0,0
81,0.44373202,1.5430536,3,2,0,2,0.0,0.0,0
82,0.32762098,1.6713738,1,5,0,2,0.0,0.0,0
83,0.81566423,2.7564604,4,2,0,5,0.0,0.0,0
84,0.45929,1.3804741,2,6,0,4,0.0,0.0,0
85,0.33249795,1.1999917,2,1,0,2,0.0,0.0,0
86,0.72470546,1.1451344,2,2,1,3,0.0,0.0,0
87,0.4555683,2.511743,2,6,1,3,0.0,0.0,0
88,0.38859785,1.9240931,4,2,0,3,0.0,0.0,0
89,0.61940783,1.9902701,2,3,1,3,1.0,806.4275,1
90,0.24277082,2.1710293,3,2,1,3,0.0,0.0,0
91,0.7091426,1.4179282,2,6,1,2,0.0,0.0,0
92,0.346388,1.4367421,3,3,0,3,1.0,626.58356,1
93,0.29075676,2.854383,3,3,1,2,0.0,0.0,0
94,0.37211037,1.3220828,2,6,0,6,0.0,0.0,0
95,0.41498193,1.536584,1,5,0,2,0.0,0.0,0
96,0.595435,1.1541586,3,1,0,3,0.0,0.0,0
97,0.51743007,1.4669225,3,2,0,4,0.0,0.0,0
98,0.5912321,1.5000893,2,3,0,5,0.0,0.0,0
99,0.20345205,1.5017483,2,4,0,2,0.0,0.0,0
100,0.18979314,1.4734923,3,2,1,5,0.0,0.0,0
101,0.40391743,1.4832461,2,4,0,1,0.0,0.0,0
102,0.28991127,2.6009963,4,6,0,3,0.0,0.0,0
103,0.7002692,1.4779758,1,2,1,4,0.0,0.0,0
104,0.73723197,2.0407226,3,2,1,6,0.0,0.0,0
105,0.5316614,1.3589541,2,5,0,4,0.0,0.0,0
106,0.5093705,1.3788619,3,5,0,1,0.0,0.0,0
107,0.15031862,1.6515878,4,2,0,1,0.0,0.0,0
108,0.41094553,1.5062685,2,3,1,3,0.0,0.0,0
109,0.14312592,1.4104422,3,2,1,2,0.0,0.0,0
110,0.40022036,1.4766879,2,6,0,2,0.0,0.0,0
111,0.7115461,1.013004,2,1,0,5,0.0,0.0,0
112,0.20557383,1.6010543,4,2,0,4,0.0,0.0,0
113,0.16317588,1.5175344,2,3,1,3,0.0,0.0,0
114,0.45584577,1.6243346,1,6,0,6,0.0,0.0,0
115,0.78979963,1.44287,2,2,1,3,0.0,0.0,0
116,0.46346605,1.583057,2,3,1,2,0.0,0.0,0
117,0.58476585,1.4265571,3,3,0,5,0.0,0.0,0
118,0.22731455,2.4367769,4,2,0,2,0.0,0.0,0
119,0.43765122,1.6727879,2,3,1,4,0.0,0.0,0
120,0.70530313,1.6451265,1,5,0,2,0.0,0.0,0
121,0.44046038,1.4576781,2,4,1,2,1.0,587.35626,1
122,0.65671486,2.3760452,4,3,0,3,0.0,0.0,0
123,0.36004785,3.2496436,4,3,0,3,1.0,948.49854,1
124,0.36074868,1.4101521,2,2,0,4,0.0,0.0,0
125,0.8191873,1.9330778,2,3,1,4,1.0,1261.1697,1
126,0.5591813,1.2465005,1,2,0,3,1.0,2975.183,1
127,0.64877534,1.4242198,3,5,1,2,0.0,0.0,0
128,0.6646261,1.9379389,3,5,1,3,0.0,0.0,0
129,0.7880983,1.4113648,3,4,1,2,0.0,0.0,0
130,0.5058862,1.4011462,3,4,0,4,0.0,0.0,0
131,0.2012226,1.5211856,2,3,0,2,0.0,0.0,0
132,0.6388308,1.4273267,2,5,0,6,0.0,0.0,0
133,0.28447172,4.9007583,4,6,1,6,0.0,0.0,0
134,0.52962637,1.5269239,2,3,1,4,0.0,0.0,0
135,0.58966875,1.8349245,1,2,0,2,0.0,0.0,0
136,0.62068677,2.6537018,4,3,1,2,0.0,0.0,0
137,0.45085812,1.2630014,3,6,0,3,0.0,0.0,0
138,0.283293,2.4787884,3,5,1,4,0.0,0.0,0
139,0.5348786,1.5139333,1,5,1,3,0.0,0.0,0
140,0.45404008,1.3155615,3,5,1,2,0.0,0.0,0
141,0.24361154,1.4984007,3,4,0,5,0.0,0.0,0
142,0.8851628,1.5987327,1,4,0,4,0.0,0.0,0
143,0.4476982,1.3088073,2,2,0,2,0.0,0.0,0
144,0.33616406,1.9241699,2,3,1,4,0.0,0.0,0
145,0.5717232,1.5163021,2,4,0,3,0.0,0.0,0
146,0.6329979,3.2128515,4,4,1,3,0.0,0.0,0
147,0.26339403,1.4719296,2,3,1,4,0.0,0.0,0
148,0.57772404,1.4684931,3,5,0,3,0.0,0.0,0
149,0.7461193,1.4623345,1,6,0,4,0.0,0.0,0
150,0.54554164,1.6610482,2,3,1,5,0.0,0.0,0
151,0.6456799,1.3586091,2,6,0,2,0.0,0.0,0
152,0.7392906,1.4177095,2,6,0,2,0.0,0.0,0
153,0.51840997,1.312644,2,1,0,3,0.0,0.0,0
154,0.7727283,1.3801599,2,6,0,3,0.0,0.0,0
155,0.52148324,1.2798035,2,2,1,1,0.0,0.0,0
156,0.419608,1.6600037,2,5,1,4,0.0,0.0,0
157,0.30314445,1.5341568,3,2,1,3,0.0,0.0,0
158,0.24072008,1.5000341,3,2,0,3,0.0,0.0,0
159,0.72963846,1.4988358,2,5,0,3,0.0,0.0,0
160,0.81241596,1.5712843,1,3,0,5,0.0,0.0,0
161,0.19055483,1.2853105,3,6,1,3,0.0,0.0,0
162,0.13910791,1.275261,2,2,0,3,0.0,0.0,0
163,0.5483947,1.4316585,3,4,0,3,0.0,0.0,0
164,0.5461926,1.5482895,3,3,0,3,0.0,0.0,0
165,0.46033677,1.9022753,2,6,1,3,0.0,0.0,0
166,0.3821174,1.5741849,2,3,1,5,0.0,0.0,0
167,0.6412804,1.4672586,2,3,0,5,0.0,0.0,0
168,0.806785,2.248031,4,5,0,2,0.0,0.0,0
169,0.59619725,1.5410688,1,5,1,2,0.0,0.0,0
170,0.8353678,3.0839934,3,3,1,3,0.0,0.0,0
171,0.75385463,1.4218142,3,4,0,3,0.0,0.0,0
172,0.5033323,1.423868,2,5,0,2,0.0,0.0,0
173,0.7290263,1.4270838,2,5,1,3,0.0,0.0,0
174,0.58284646,3.0794683,3,6,1,3,0.0,0.0,0
175,0.29442835,2.2324672,3,7,1,3,0.0,0.0,0
176,0.72735286,1.5969383,2,5,0,2,0.0,0.0,0
177,0.7629931,1.3905575,1,1,0,3,0.0,0.0,0
178,0.3988946,1.3841081,3,4,0,2,0.0,0.0,0
179,0.23515952,1.5468682,3,2,0,3,0.0,0.0,0
180,0.26046193,1.5758501,2,5,0,4,0.0,0.0,0
181,0.30248657,1.6324188,1,3,1,1,0.0,0.0,0
182,0.31183696,1.3932772,1,1,0,3,0.0,0.0,0
183,0.43565613,1.6496475,1,4,0,2,0.0,0.0,0
184,0.38315874,1.6137993,2,3,1,3,0.0,0.0,0
185,0.46060792,2.1499872,4,5,0,2,0.0,0.0,0
186,0.58781433,1.4489275,2,4,0,5,1.0,580.70306,1
187,0.7402946,1.9176631,3,2,1,3,0.0,0.0,0
188,0.75776815,1.5120268,3,2,1,4,0.0,0.0,0
189,0.7376058,1.4942085,3,3,0,4,0.0,0.0,0
190,0.21149689,1.3311167,2,2,0,2,0.0,0.0,0
191,0.38922727,1.3157147,2,2,0,3,0.0,0.0,0
192,0.71704376,5.1326385,4,4,0,4,0.0,0.0,0
193,0.16357046,1.7238338,1,2,0,1,0.0,0.0,0
194,0.601991,1.9439478,4,3,0,5,0.0,0.0,0
195,0.77458036,5.0985036,4,3,1,3,0.0,0.0,0
196,0.24208902,1.4750731,3,4,0,2,0.0,0.0,0
197,0.47078818,1.4938,2,3,0,2,0.0,0.0,0
198,0.5000391,1.392515,2,6,0,4,0.0,0.0,0
199,0.49531713,1.4927806,2,2,0,5,0.0,0.0,0
200,0.7629472,1.634618,2,3,1,6,0.0,0.0,0
201,0.5770895,1.3151336,2,2,0,4,0.0,0.0,0
202,0.64659303,3.0321212,2,3,1,3,0.0,0.0,0
203,0.68392485,1.4322675,2,2,0,2,0.0,0.0,0
204,0.15333936,1.6078379,1,6,0,5,0.0,0.0,0
205,0.7318563,1.0665768,1,1,0,4,0.0,0.0,0
206,0.29551846,0.9991468,3,1,1,3,0.0,0.0,0
207,0.44078153,1.3057107,2,4,0,4,1.0,565.6311,1
208,0.79677194,1.73197,3,3,1,4,1.0,3346.3362,1
209,0.16914064,1.5856801,2,5,1,4,0.0,0.0,0
210,0.5221939,1.3541737,2,5,1,4,0.0,0.0,0
211,0.33765495,1.4651742,3,6,0,3,0.0,0.0,0
212,0.603284,1.6151495,1,2,1,2,0.0,0.0,0
