,Exposure,VehValue,VehAge,VehBody,DrivAge,ClaimNb,ClaimAmount,ClaimOcc
0,0.36443767,3.7579708,youngest cars,Hardtop,working people,1.0,615.11475,1
1,0.6213769,1.3528633,oldest cars,Utility,young people,0.0,0.0,0
2,0.12427348,1.3552153,old cars,Sedan,older work. people,0.0,0.0,0
3,0.15080935,3.1666634,young cars,Sedan,older work. people,0.0,0.0,0
4,0.60871994,1.5610172,young cars,Truck,working people,0.0,0.0,0
5,0.19353533,2.3070412,oldest cars,Hardtop,oldest people,0.0,0.0,0
6,0.26153034,1.301323,young cars,Panel van,working people,0.0,0.0,0
7,0.6831686,1.163164,oldest cars,Hatchback,oldest people,0.0,0.0,0
8,0.6121998,1.9359016,old cars,Station wagon,older work. people,0.0,0.0,0
9,0.15991285,1.3472977,young cars,Sedan,working people,0.0,0.0,0
10,0.40818638,1.8769188,young cars,Sedan,oldest people,0.0,0.0,0
11,0.55843765,1.5047107,old cars,Station wagon,working people,0.0,0.0,0
12,0.21166012,1.9508225,young cars,Utility,oldest people,0.0,0.0,0
13,0.22049002,2.7617517,young cars,Station wagon,old people,0.0,0.0,0
14,0.2420723,1.8922565,young cars,Sedan,working people,0.0,0.0,0
15,0.2542649,2.8093824,oldest cars,Station wagon,working people,0.0,0.0,0
16,0.29404104,0.9983509,oldest cars,Hardtop,oldest people,0.0,0.0,0
17,0.6854112,2.0833852,young cars,Hatchback,old people,0.0,0.0,0
18,0.17476112,2.1589198,young cars,Station wagon,older work. people,0.0,0.0,0
19,0.25428188,1.2603815,young cars,Hatchback,old people,0.0,0.0,0
20,0.36935902,2.1086855,oldest cars,Utility,oldest people,0.0,0.0,0
21,0.27941567,2.2062976,oldest cars,Station wagon,older work. people,0.0,0.0,0
22,0.6294044,2.1266305,young cars,Station wagon,oldest people,0.0,0.0,0
23,0.26947516,1.1050904,oldest cars,Station wagon,oldest people,0.0,0.0,0
24,0.017940342,1.4712031,old cars,Panel van,oldest people,0.0,0.0,0
25,0.5964546,2.1225648,oldest cars,Station wagon,oldest people,0.0,0.0,0
26,0.24313955,2.1675289,young cars,Hardtop,oldest people,0.0,0.0,0
27,0.2667905,1.2944533,oldest cars,Hardtop,oldest people,0.0,0.0,0
28,0.81219316,1.5840018,young cars,Panel van,oldest people,0.0,0.0,0
29,0.22634631,2.202244,oldest cars,Hardtop,oldest people,0.0,0.0,0
30,0.50880045,1.6626307,old cars,Panel van,working people,0.0,0.0,0
31,0.35388082,2.030037,young cars,Utility,oldest people,0.0,0.0,0
32,0.37228924,2.8683345,young cars,Panel van,older work. people,0.0,0.0,0
33,0.34267572,1.4309863,young cars,Utility,oldest people,0.0,0.0,0
34,0.4682494,1.3335555,old cars,Sedan,older work. people,0.0,0.0,0
35,0.30530804,1.8097583,young cars,Panel van,old people,0.0,0.0,0
36,0.25833637,1.7247006,oldest cars,Station wagon,older work. people,0.0,0.0,0
37,0.56730074,1.2329121,young cars,Station wagon,older work. people,0.0,0.0,0
38,0.26369995,1.9805728,young cars,Utility,young people,0.0,0.0,0
39,0.31039518,1.9063942,old cars,Sedan,working people,0.0,0.0,0
40,0.23533288,2.4643543,oldest cars,Truck,working people,0.0,0.0,0
41,0.46524978,1.2896948,young cars,Utility,older work. people,0.0,0.0,0
42,0.38836795,1.3763857,young cars,Panel van,oldest people,1.0,7967.8296,1
43,0.33809203,1.6609933,oldest cars,Panel van,old people,1.0,685.2367,1
44,0.29085207,2.881733,youngest cars,Hardtop,working people,1.0,762.9381,1
45,0.6283773,1.0305755,oldest cars,Hatchback,oldest people,0.0,0.0,0
46,0.2556097,1.8201871,young cars,Station wagon,older work. people,0.0,0.0,0
47,0.21325737,2.4234085,old cars,Station wagon,older work. people,0.0,0.0,0
48,0.69716537,1.4336469,old cars,Utility,old people,0.0,0.0,0
49,0.47879973,2.623197,oldest cars,Sedan,working people,0.0,0.0,0
50,0.70669717,1.5493896,oldest cars,Sedan,old people,0.0,0.0,0
51,0.30753553,1.2161741,oldest cars,Utility,old people,0.0,0.0,0
52,0.20455196,1.8069298,old cars,Sedan,oldest people,0.0,0.0,0
53,0.67275596,2.6858468,youngest cars,Station wagon,working people,0.0,0.0,0
54,0.6768726,1.0944583,youngest cars,Hatchback,oldest people,0.0,0.0,0
55,0.53591436,1.1129937,oldest cars,Sedan,older work. people,0.0,0.0,0
56,0.82187617,2.3071218,youngest cars,Hardtop,older work. people,0.0,0.0,0
57,0.3291652,1.4158463,young cars,Panel van,working people,0.0,0.0,0
58,0.61233294,2.736806,young cars,Sedan,old people,0.0,0.0,0
59,0.58712286,1.5753908,young cars,Utility,working people,0.0,0.0,0
60,0.24849857,1.248884,young cars,Utility,older work. people,0.0,0.0,0
61,0.224721,1.8958526,young cars,Hardtop,old people,0.0,0.0,0
62,0.5699785,1.4803772,young cars,Sedan,oldest people,0.0,0.0,0
63,0.62134373,1.1313639,oldest cars,Hardtop,older work. people,0.0,0.0,0
64,0.37219894,1.3470328,young cars,Sedan,older work. people,0.0,0.0,0
65,0.16211918,2.3068335,young cars,Station wagon,old people,0.0,0.0,0
66,0.46220827,2.111077,young cars,Panel van,oldest people,0.0,0.0,0
67,0.60448,1.9309018,young cars,Truck,working people,0.0,0.0,0
68,0.0720692,0.9764973,oldest cars,Hatchback,old people,0.0,0.0,0
69,0.822663,2.0605931,old cars,Panel van,older work. people,0.0,0.0,0
70,0.2250549,1.1957006,oldest cars,Station wagon,older work. people,0.0,0.0,0
71,0.7748092,2.638299,young cars,Panel van,working people,0.0,0.0,0
72,0.79825544,1.2064397,oldest cars,Sedan,older work. people,0.0,0.0,0
73,0.46891716,1.573935,young cars,Utility,working people,0.0,0.0,0
74,0.6209298,1.1349256,oldest cars,Panel van,old people,0.0,0.0,0
75,0.4019974,2.2504947,old cars,Utility,young people,0.0,0.0,0
76,0.58235,1.3548496,young cars,Utility,working people,0.0,0.0,0
77,0.79046416,2.1555219,old cars,Station wagon,working people,1.0,360.0509,1
78,0.63150334,1.4920094,youngest cars,Hardtop,older work. people,0.0,0.0,0
79,0.24190077,1.5259806,old cars,Hardtop,oldest people,0.0,0.0,0
80,0.4290118,0.8221028,oldest cars,Hatchback,old people,0.0,0.0,0
81,0.467694,1.1727841,oldest cars,Utility,old people,0.0,0.0,0
82,0.15632772,1.8550681,oldest cars,Hardtop,working people,0.0,0.0,0
83,0.7596871,1.3119502,old cars,Utility,older work. people,0.0,0.0,0
84,0.23521827,1.3423171,young cars,Sedan,working people,0.0,0.0,0
85,0.27554446,1.3961456,oldest cars,Hatchback,old people,0.0,0.0,0
86,0.57010007,1.1685715,oldest cars,Hatchback,older work. people,0.0,0.0,0
87,0.7306465,1.9946129,oldest cars,Sedan,older work. people,0.0,0.0,0
88,0.6738842,1.4472327,young cars,Utility,old people,0.0,0.0,0
89,0.73494613,2.1821985,oldest cars,Hardtop,older work. people,1.0,739.72815,1
90,0.73347694,3.2690697,oldest cars,Station wagon,older work. people,0.0,0.0,0
91,0.59393305,1.3110977,youngest cars,Sedan,oldest people,0.0,0.0,0
92,0.5178008,2.3134093,oldest cars,Hardtop,old people,1.0,410.07352,1
93,0.7896173,2.6658335,oldest cars,Station wagon,oldest people,0.0,0.0,0
94,0.22240056,1.4032964,old cars,Sedan,oldest people,0.0,0.0,0
95,0.20710453,1.4309429,oldest cars,Panel van,working people,0.0,0.0,0
96,0.5267705,1.1267233,young cars,Hatchback,working people,0.0,0.0,0
97,0.5477832,1.4360591,young cars,Utility,working people,0.0,0.0,0
98,0.21573415,1.3918153,old cars,Station wagon,oldest people,0.0,0.0,0
99,0.27678972,1.7017218,oldest cars,Station wagon,old people,0.0,0.0,0
100,0.61298704,2.6992671,old cars,Utility,older work. people,0.0,0.0,0
101,0.3668283,1.8799553,youngest cars,Station wagon,working people,0.0,0.0,0
102,0.7026813,1.4652183,young cars,Sedan,old people,0.0,0.0,0
103,0.24059054,1.3809819,young cars,Utility,older work. people,0.0,0.0,0
104,0.71735847,1.5160549,old cars,Utility,older work. people,0.0,0.0,0
105,0.36359733,1.3460255,young cars,Panel van,oldest people,0.0,0.0,0
106,0.56757665,1.1385067,oldest cars,Hardtop,old people,0.0,0.0,0
107,0.6478797,3.072194,oldest cars,Utility,old people,0.0,0.0,0
108,0.332888,1.75844,oldest cars,Station wagon,oldest people,0.0,0.0,0
109,0.55209965,4.1386323,oldest cars,Station wagon,old people,0.0,0.0,0
110,0.225032,1.1564138,young cars,Panel van,old people,0.0,0.0,0
111,0.37002915,1.3172214,old cars,Hatchback,older work. people,0.0,0.0,0
